LGA,region_id,Aus_Male,Aus_Female,OS_Male,OS_Female,Total,Aus_Male_%,Aus_Female_%,OS_Male_%,OS_Female_%,,,,,
Albury (C),LGA10050,19038,20499,1992,2054,43583,0.4368,0.4703,0.0457,0.0471,,,,,
Armidale Regional (A),LGA10130,11368,12189,1161,1266,25984,0.4375,0.4691,0.0447,0.0487,,,,,
Ballina (A),LGA10250,15695,16990,1764,1945,36394,0.4313,0.4668,0.0485,0.0534,,,,,
Bathurst Regional (A),LGA10470,15702,15688,1444,1296,34130,0.4601,0.4597,0.0423,0.0380,,,,,
Bega Valley (A),LGA10550,12752,13118,1684,1814,29368,0.4342,0.4467,0.0573,0.0618,,,,,
Bellingen (A),LGA10600,5032,5276,654,743,11705,0.4299,0.4507,0.0559,0.0635,,,,,
Berrigan (A),LGA10650,3562,3539,250,261,7612,0.4679,0.4649,0.0328,0.0343,,,,,
Bland (A),LGA10800,2756,2794,109,120,5779,0.4769,0.4835,0.0189,0.0208,,,,,
Blayney (A),LGA10850,2952,2957,194,193,6296,0.4689,0.4697,0.0308,0.0307,,,,,
Blue Mountains (C),LGA10900,28088,29995,5970,6227,70280,0.3997,0.4268,0.0849,0.0886,,,,,
Botany Bay (C),LGA11100,9035,9137,7326,7607,33105,0.2729,0.2760,0.2213,0.2298,,,,,
Broken Hill (C),LGA11250,8235,8615,409,432,17691,0.4655,0.4870,0.0231,0.0244,,,,,
Burwood (A),LGA11300,6374,6698,7396,7846,28314,0.2251,0.2366,0.2612,0.2771,,,,,
Byron (A),LGA11350,10493,11005,2306,2314,26118,0.4018,0.4214,0.0883,0.0886,,,,,
Cabonne (A),LGA11400,5554,5551,368,354,11827,0.4696,0.4693,0.0311,0.0299,,,,,
Camden (A),LGA11450,19424,20185,3776,3880,47265,0.4110,0.4271,0.0799,0.0821,,,,,
Campbelltown (C) (NSW),LGA11500,47093,48448,18208,19196,132945,0.3542,0.3644,0.1370,0.1444,,,,,
Canada Bay (A),LGA11520,18948,20749,9939,10721,60357,0.3139,0.3438,0.1647,0.1776,,,,,
Cessnock (C),LGA11720,20087,20493,1425,1485,43490,0.4619,0.4712,0.0328,0.0341,,,,,
Clarence Valley (A),LGA11730,20930,21337,1643,1631,45541,0.4596,0.4685,0.0361,0.0358,,,,,
Cobar (A),LGA11750,2167,2019,142,126,4454,0.4865,0.4533,0.0319,0.0283,,,,,
Coffs Harbour (C),LGA11800,26221,27683,3573,3935,61412,0.4270,0.4508,0.0582,0.0641,,,,,
Coolamon (A),LGA12000,1829,1875,79,81,3864,0.4733,0.4852,0.0204,0.0210,,,,,
Coonamble (A),LGA12150,1934,1929,37,56,3956,0.4889,0.4876,0.0094,0.0142,,,,,
Cowra (A),LGA12350,5537,5616,362,359,11874,0.4663,0.4730,0.0305,0.0302,,,,,
Dungog (A),LGA12700,3593,3567,174,189,7523,0.4776,0.4741,0.0231,0.0251,,,,,
Eurobodalla (A),LGA12750,13873,14500,2309,2373,33055,0.4197,0.4387,0.0699,0.0718,,,,,
Fairfield (C),LGA12850,37788,36910,44576,47808,167082,0.2262,0.2209,0.2668,0.2861,,,,,
Forbes (A),LGA12900,4191,4243,141,184,8759,0.4785,0.4844,0.0161,0.0210,,,,,
Georges River (A),LGA12930,34652,36223,22459,24623,117957,0.2938,0.3071,0.1904,0.2087,,,,,
Gilgandra (A),LGA12950,1991,2079,58,68,4196,0.4745,0.4955,0.0138,0.0162,,,,,
Glen Innes Severn (A),LGA13010,3864,3960,226,245,8295,0.4658,0.4774,0.0272,0.0295,,,,,
Goulburn Mulwaree (A),LGA13310,11331,11209,1077,910,24527,0.4620,0.4570,0.0439,0.0371,,,,,
Greater Hume Shire (A),LGA13340,4432,4312,276,264,9284,0.4774,0.4645,0.0297,0.0284,,,,,
Griffith (C),LGA13450,9013,9189,1969,1816,21987,0.4099,0.4179,0.0896,0.0826,,,,,
Gunnedah (A),LGA13550,5236,5230,186,248,10900,0.4804,0.4798,0.0171,0.0228,,,,,
Gwydir (A),LGA13660,2454,2377,88,108,5027,0.4882,0.4728,0.0175,0.0215,,,,,
Hawkesbury (C),LGA13800,24359,24761,3804,3866,56790,0.4289,0.4360,0.0670,0.0681,,,,,
Hornsby (A),LGA14000,46772,49385,23331,25230,144718,0.3232,0.3412,0.1612,0.1743,,,,,
Hunters Hill (A),LGA14100,4570,4365,1572,1775,12282,0.3721,0.3554,0.1280,0.1445,,,,,
Inner West (A),LGA14170,43199,46840,27007,27895,144941,0.2980,0.3232,0.1863,0.1925,,,,,
Inverell (A),LGA14200,6914,7079,340,367,14700,0.4703,0.4816,0.0231,0.0250,,,,,
Junee (A),LGA14300,2838,2206,251,116,5411,0.5245,0.4077,0.0464,0.0214,,,,,
Kempsey (A),LGA14350,11901,11768,966,910,25545,0.4659,0.4607,0.0378,0.0356,,,,,
Kiama (A),LGA14400,7722,7959,1128,1273,18082,0.4271,0.4402,0.0624,0.0704,,,,,
Ku-ring-gai (A),LGA14500,30804,33396,15694,17117,97011,0.3175,0.3442,0.1618,0.1764,,,,,
Kyogle (A),LGA14550,4017,3980,399,389,8785,0.4573,0.4530,0.0454,0.0443,,,,,
Lachlan (A),LGA14600,3079,3031,86,104,6300,0.4887,0.4811,0.0137,0.0165,,,,,
Lake Macquarie (C),LGA14650,76576,79745,8362,8725,173408,0.4416,0.4599,0.0482,0.0503,,,,,
Lane Cove (A),LGA14700,9350,9861,4402,4620,28233,0.3312,0.3493,0.1559,0.1636,,,,,
Leeton (A),LGA14750,4788,4771,399,368,10326,0.4637,0.4620,0.0386,0.0356,,,,,
Lismore (C),LGA14850,17714,18734,1741,1846,40035,0.4425,0.4679,0.0435,0.0461,,,,,
Lithgow (C),LGA14870,8512,8322,907,825,18566,0.4585,0.4482,0.0489,0.0444,,,,,
Liverpool (C),LGA14900,44399,44130,30383,31655,150567,0.2949,0.2931,0.2018,0.2102,,,,,
Liverpool Plains (A),LGA14920,3328,3308,135,165,6936,0.4798,0.4769,0.0195,0.0238,,,,,
Maitland (C),LGA15050,26442,27681,2109,2183,58415,0.4527,0.4739,0.0361,0.0374,,,,,
Mid-Coast (A),LGA15240,34709,36231,3457,3499,77896,0.4456,0.4651,0.0444,0.0449,,,,,
Mid-Western Regional (A),LGA15270,9009,8955,856,905,19725,0.4567,0.4540,0.0434,0.0459,,,,,
Moree Plains (A),LGA15300,6100,5807,327,272,12506,0.4878,0.4643,0.0261,0.0217,,,,,
Mosman (A),LGA15350,7424,8902,3619,4185,24130,0.3077,0.3689,0.1500,0.1734,,,,,
Murray River (A),LGA15520,4794,4661,277,298,10030,0.4780,0.4647,0.0276,0.0297,,,,,
Muswellbrook (A),LGA15650,6854,6542,439,393,14228,0.4817,0.4598,0.0309,0.0276,,,,,
Nambucca (A),LGA15700,7405,7616,770,869,16660,0.4445,0.4571,0.0462,0.0522,,,,,
Narrabri (A),LGA15750,5914,5854,250,245,12263,0.4823,0.4774,0.0204,0.0200,,,,,
Narrandera (A),LGA15800,2670,2787,136,99,5692,0.4691,0.4896,0.0239,0.0174,,,,,
Narromine (A),LGA15850,2926,2985,114,120,6145,0.4762,0.4858,0.0186,0.0195,,,,,
Newcastle (C),LGA15900,56505,59727,7855,8168,132255,0.4272,0.4516,0.0594,0.0618,,,,,
North Sydney (A),LGA15950,15100,17151,9300,10174,51725,0.2919,0.3316,0.1798,0.1967,,,,,
Oberon (A),LGA16100,2253,2042,236,197,4728,0.4765,0.4319,0.0499,0.0417,,,,,
Orange (C),LGA16150,14804,15692,1175,1332,33003,0.4486,0.4755,0.0356,0.0404,,,,,
Parkes (A),LGA16200,6433,6494,291,321,13539,0.4751,0.4797,0.0215,0.0237,,,,,
Penrith (C),LGA16350,62747,64312,17615,17687,162361,0.3865,0.3961,0.1085,0.1089,,,,,
Port Macquarie-Hastings (A),LGA16380,27577,29646,3350,3779,64352,0.4285,0.4607,0.0521,0.0587,,,,,
Port Stephens (A),LGA16400,24960,25523,3041,3266,56790,0.4395,0.4494,0.0535,0.0575,,,,,
Queanbeyan-Palerang Regional (A),LGA16490,18449,18569,3938,3910,44866,0.4112,0.4139,0.0878,0.0871,,,,,
Randwick (C),LGA16550,32387,33163,20643,21977,108170,0.2994,0.3066,0.1908,0.2032,,,,,
Richmond Valley (A),LGA16610,9466,9660,499,559,20184,0.4690,0.4786,0.0247,0.0277,,,,,
Rockdale (C),LGA16650,22378,23432,18780,19157,83747,0.2672,0.2798,0.2242,0.2287,,,,,
Ryde (C),LGA16700,26096,27658,17246,19116,90116,0.2896,0.3069,0.1914,0.2121,,,,,
Shellharbour (C),LGA16900,22488,23154,5283,5721,56646,0.3970,0.4087,0.0933,0.1010,,,,,
Shoalhaven (C),LGA16950,35286,36501,5441,5707,82935,0.4255,0.4401,0.0656,0.0688,,,,,
Singleton (A),LGA17000,9781,9315,823,804,20723,0.4720,0.4495,0.0397,0.0388,,,,,
