LGA,region_id,Employed,Not_Employed,Employed_ppt,Not_Employed_ppt
Albury (C),LGA10050,22896,1380,0.9432,0.0568
Armidale Regional (A),LGA10130,12581,1031,0.9243,0.0757
Ballina (A),LGA10250,16213,1268,0.9275,0.0725
Bathurst Regional (A),LGA10470,17242,1066,0.9418,0.0582
Bega Valley (A),LGA10550,13399,938,0.9346,0.0654
Bellingen (A),LGA10600,5025,524,0.9056,0.0944
Berrigan (A),LGA10650,3719,159,0.9590,0.0410
Bland (A),LGA10800,2919,129,0.9577,0.0423
Blayney (A),LGA10850,3071,203,0.9380,0.0620
Blue Mountains (C),LGA10900,36971,1797,0.9536,0.0464
Botany Bay (C),LGA11100,17382,939,0.9487,0.0513
Broken Hill (C),LGA11250,7566,690,0.9164,0.0836
Burwood (A),LGA11300,14683,959,0.9387,0.0613
Byron (A),LGA11350,12984,1138,0.9194,0.0806
Cabonne (A),LGA11400,5951,218,0.9647,0.0353
Camden (A),LGA11450,25754,999,0.9627,0.0373
Campbelltown (C) (NSW),LGA11500,68350,5098,0.9306,0.0694
Canada Bay (A),LGA11520,34977,1139,0.9685,0.0315
Cessnock (C),LGA11720,19667,1692,0.9208,0.0792
Clarence Valley (A),LGA11730,18793,1870,0.9095,0.0905
Cobar (A),LGA11750,2366,126,0.9494,0.0506
Coffs Harbour (C),LGA11800,28162,2487,0.9189,0.0811
Coolamon (A),LGA12000,1673,106,0.9404,0.0596
Coonamble (A),LGA12150,1754,129,0.9315,0.0685
Cowra (A),LGA12350,5333,351,0.9382,0.0618
Dungog (A),LGA12700,3634,176,0.9538,0.0462
Eurobodalla (A),LGA12750,13459,1226,0.9165,0.0835
Fairfield (C),LGA12850,73269,7725,0.9046,0.0954
Forbes (A),LGA12900,4080,243,0.9438,0.0562
Georges River (A),LGA12930,61640,3274,0.9496,0.0504
Gilgandra (A),LGA12950,2036,115,0.9465,0.0535
Glen Innes Severn (A),LGA13010,3588,286,0.9262,0.0738
Goulburn Mulwaree (A),LGA13310,11825,728,0.9420,0.0580
Greater Hume Shire (A),LGA13340,4766,177,0.9642,0.0358
Griffith (C),LGA13450,11520,452,0.9622,0.0378
Gunnedah (A),LGA13550,5109,423,0.9235,0.0765
Gwydir (A),LGA13660,2348,121,0.9510,0.0490
Hawkesbury (C),LGA13800,31029,1265,0.9608,0.0392
Hornsby (A),LGA14000,78973,2927,0.9643,0.0357
Hunters Hill (A),LGA14100,5871,154,0.9744,0.0256
Inner West (A),LGA14170,89400,4078,0.9564,0.0436
Inverell (A),LGA14200,6630,552,0.9231,0.0769
Junee (A),LGA14300,2200,141,0.9398,0.0602
Kempsey (A),LGA14350,10220,1193,0.8955,0.1045
Kiama (A),LGA14400,8909,418,0.9552,0.0448
Ku-ring-gai (A),LGA14500,48622,1551,0.9691,0.0309
Kyogle (A),LGA14550,3770,383,0.9078,0.0922
Lachlan (A),LGA14600,3035,197,0.9390,0.0610
Lake Macquarie (C),LGA14650,82228,5489,0.9374,0.0626
Lane Cove (A),LGA14700,16385,485,0.9713,0.0287
Leeton (A),LGA14750,5000,280,0.9470,0.0530
Lismore (C),LGA14850,19647,1809,0.9157,0.0843
Lithgow (C),LGA14870,8433,714,0.9219,0.0781
Liverpool (C),LGA14900,72931,5215,0.9333,0.0667
Liverpool Plains (A),LGA14920,3215,188,0.9448,0.0552
Maitland (C),LGA15050,29174,1906,0.9387,0.0613
Mid-Coast (A),LGA15240,31571,3094,0.9107,0.0893
Mid-Western Regional (A),LGA15270,9222,674,0.9319,0.0681
Moree Plains (A),LGA15300,6496,405,0.9413,0.0587
Mosman (A),LGA15350,13528,362,0.9739,0.0261
