LGA,region_id,Couple family with no children,Couple family with children,One parent family,Couple family with no children_ppt,Couple family with children_ppt,One parent family_ppt,
Albury (C),LGA10050,4527,5005,2124,0.2326,0.5489,0.2184,
Armidale Regional (A),LGA10130,7091,7849,3266,0.3895,0.4311,0.1794,
Ballina (A),LGA10250,4669,3999,1812,0.2734,0.5609,0.1656,
Bathurst Regional (A),LGA10470,3418,3973,1460,0.2802,0.5362,0.1836,
Bega Valley (A),LGA10550,4061,3285,1256,0.2877,0.5712,0.1410,
Bellingen (A),LGA10600,1488,1277,661,0.2881,0.5245,0.1874,
Berrigan (A),LGA10650,1104,831,269,0.2946,0.5225,0.1829,
Bland (A),LGA10800,734,718,193,0.2974,0.6024,0.1001,
Blayney (A),LGA10850,697,796,271,0.3106,0.5074,0.1820,
Blue Mountains (C),LGA10900,7365,9212,3095,0.3157,0.4960,0.1883,
Botany Bay (C),LGA11100,2928,4600,1746,0.3161,0.5642,0.1198,
Broken Hill (C),LGA11250,2134,1859,1048,0.3224,0.5187,0.1589,
Burwood (A),LGA11300,2367,3714,1149,0.3227,0.3795,0.2977,
Byron (A),LGA11350,2593,2819,1708,0.3235,0.5526,0.1239,
Cabonne (A),LGA11400,1487,1558,363,0.3274,0.5137,0.1589,
Camden (A),LGA11450,3861,7665,1892,0.3291,0.5046,0.1663,
Campbelltown (C) (NSW),LGA11500,9588,19217,8563,0.3322,0.5128,0.1550,
Canada Bay (A),LGA11520,6878,8174,2152,0.3335,0.4993,0.1672,
Cessnock (C),LGA11720,4554,5451,2446,0.3352,0.4850,0.1798,
Clarence Valley (A),LGA11730,6054,4773,2277,0.3383,0.5202,0.1415,
Cobar (A),LGA11750,457,572,173,0.3439,0.5229,0.1332,
Coffs Harbour (C),LGA11800,7278,6799,3473,0.3474,0.4760,0.1767,
Coolamon (A),LGA12000,457,496,127,0.3491,0.4483,0.2026,
Coonamble (A),LGA12150,434,405,246,0.3504,0.4617,0.1879,
Cowra (A),LGA12350,1500,1381,514,0.3563,0.5054,0.1384,
