LGA,region_id,yr2006_M_Born_Aust_ppt,yr2007_M_Born_Aust_ppt,yr2008_M_Born_Aust_ppt,yr2009_M_Born_Aust_ppt,yr2010_M_Born_Aust_ppt,yr2011_M_Born_Aust_ppt,yr2012_M_Born_Aust_ppt,yr2013_M_Born_Aust_ppt,yr2014_M_Born_Aust_ppt,yr2015_M_Born_Aust_ppt,yr2016_M_Born_Aust_ppt,yr2006_M_Born_OS_ppt,yr2007_M_Born_OS_ppt,yr2008_M_Born_OS_ppt,yr2009_M_Born_OS_ppt,yr2010_M_Born_OS_ppt,,yr2011_M_Born_OS_ppt,yr2012_M_Born_OS_ppt,yr2013_M_Born_OS_ppt,yr2014_M_Born_OS_ppt,yr2015_M_Born_OS_ppt,yr2016_M_Born_OS_ppt
Albury (C),LGA10050,0.4368,0.429142564,0.421619369,0.414228062,0.406966329,0.406170257,0.411177693,0.416246862,0.421378527,0.426573456,0.4262,0.0457,0.053371423,0.062330609,0.072793727,0.085013234,0.167864843,0.076385693,0.07143927,0.066813157,0.062486611,0.058440236,0.0566
Armidale Regional (A),LGA10130,0.4375,0.428144297,0.41898866,0.410028812,0.401260566,0.400077188,0.360032891,0.323996685,0.291567394,0.262383997,0.2399,0.0447,0.053856907,0.064889628,0.07818243,0.094198296,0.204852495,0.081327626,0.07019572,0.060587518,0.052294462,0.045136537,0.0368
Ballina (A),LGA10250,0.4313,0.425020591,0.418832606,0.412734713,0.406725601,0.406182364,0.391861773,0.378046077,0.364717474,0.351858793,0.3489,0.0485,0.054771863,0.061854783,0.069853643,0.07888689,0.129316763,0.073587452,0.066515589,0.060123342,0.0543454,0.049122727,0.0453
Bathurst Regional (A),LGA10470,0.4601,0.452356011,0.444742363,0.43725686,0.429897347,0.429124046,0.413818034,0.399057958,0.384824345,0.371098417,0.3679,0.0423,0.049885341,0.058830903,0.069380606,0.081822108,0.179322473,0.072641362,0.064156022,0.056661866,0.050043113,0.044197506,0.0387
Bega Valley (A),LGA10550,0.4342,0.427872222,0.421636662,0.415491975,0.409436837,0.408888889,0.375466667,0.344776348,0.316594629,0.290716459,0.2752,0.0573,0.063475782,0.07031719,0.077895962,0.086291573,0.107779799,0.08200313,0.071377347,0.06212843,0.054077967,0.047070665,0.0395
Bellingen (A),LGA10600,0.4299,0.424566088,0.419298356,0.414095982,0.408958156,0.408564352,0.332673264,0.270878994,0.220563049,0.179593322,0.105,0.0559,0.061098923,0.066781368,0.072992302,0.079780878,0.093003998,0.076695694,0.06124677,0.048909746,0.039057786,0.03119032,0.0149
Berrigan (A),LGA10650,0.4679,0.458891522,0.450056484,0.441391547,0.432893437,0.431866088,0.342074566,0.270952066,0.214617014,0.169994876,0.0727,0.0328,0.040688035,0.050473054,0.062611261,0.077668572,0.240488863,0.064352139,0.049989104,0.038831818,0.030164775,0.023432167,0.0069
Bland (A),LGA10800,0.4769,0.472423508,0.467989035,0.463596188,0.459244574,0.458994032,0.357270524,0.278091257,0.216459915,0.168487479,0.0521,0.0189,0.023851044,0.030099064,0.037983816,0.047934057,0.261960018,0.038704177,0.029778133,0.022910633,0.017626931,0.013561769,0.003
Blayney (A),LGA10850,0.4689,0.461624893,0.45446266,0.447411552,0.440469844,0.439799571,0.346174678,0.272480729,0.214474808,0.168817236,0.0653,0.0308,0.037953257,0.046767848,0.057629615,0.071014013,0.232248603,0.059413028,0.045659771,0.035090194,0.026967321,0.020724776,0.0044
Blue Mountains (C),LGA10900,0.3997,0.39384803,0.388081739,0.382399871,0.376801191,0.376292122,0.380669091,0.385096973,0.389576359,0.394107849,0.3938,0.0849,0.090452367,0.096367852,0.102670203,0.109384722,0.0653989,0.107109467,0.1126821,0.118544663,0.124712241,0.131200702,0.1294
