LGA,region_id,yr2006_Unemployment_ppt,yr2007_Unemployment_ppt,yr2008_Unemployment_ppt,yr2009_Unemployment_ppt,yr2010_Unemployment_ppt,yr2011_Unemployment_ppt,yr2012_Unemployment_ppt,yr2013_Unemployment_ppt,yr2014_Unemployment_ppt,yr2015_Unemployment_ppt,yr2016_Unemployment_ppt
Albury (C),LGA10050,0.0568,0.057,0.058,0.058,0.059,0.059,0.0626,0.066419661,0.070472386,0.074772396,0.0734
Armidale Regional (A),LGA10130,0.0757,0.074,0.072,0.070,0.068,0.068,0.071825,0.075865156,0.080132571,0.084640028,0.0833
Ballina (A),LGA10250,0.0725,0.068,0.063,0.059,0.055,0.053,0.05525,0.057595519,0.060040612,0.062589506,0.062
Bathurst Regional (A),LGA10470,0.0582,0.060,0.062,0.064,0.066,0.066,0.065525,0.065053419,0.064585231,0.064120413,0.0641
Bega Valley (A),LGA10550,0.0654,0.071,0.078,0.085,0.092,0.089,0.080925,0.073582647,0.066906469,0.060836023,0.0567
Bellingen (A),LGA10600,0.0944,0.081,0.070,0.060,0.052,0.042,0.050925,0.061746563,0.074867707,0.090777095,0.0777
Berrigan (A),LGA10650,0.041,0.038,0.034,0.031,0.029,0.027,0.03295,0.040211204,0.049072562,0.0598867,0.0508
Bland (A),LGA10800,0.0423,0.043,0.044,0.045,0.046,0.046,0.04325,0.040664402,0.038233378,0.035947687,0.035
Blayney (A),LGA10850,0.062,0.060,0.058,0.055,0.053,0.053,0.0552,0.057491321,0.059877753,0.062363245,0.0618
Blue Mountains (C),LGA10900,0.0464,0.048,0.050,0.052,0.053,0.053,0.052175,0.051362842,0.050563326,0.049776255,0.0497
Botany Bay (C),LGA11100,0.0513,0.061,0.074,0.088,0.106,0.092,0.0837,0.076148804,0.069278858,0.0630287,0.0588
Broken Hill (C),LGA11250,0.0836,0.079,0.074,0.070,0.066,0.064,0.07225,0.081563477,0.092077518,0.103946886,0.097
Burwood (A),LGA11300,0.0613,0.069,0.077,0.086,0.097,0.091,0.088725,0.086506875,0.084344203,0.082235598,0.0819
Byron (A),LGA11350,0.0806,0.069,0.059,0.050,0.043,0.034,0.043025,0.054445607,0.068897712,0.087186002,0.0701
Cabonne (A),LGA11400,0.0353,0.036,0.036,0.037,0.037,0.037,0.03865,0.040373581,0.042174025,0.044054758,0.0436
Camden (A),LGA11450,0.0373,0.045,0.055,0.068,0.082,0.07,0.063275,0.05719608,0.051701171,0.046734166,0.0431
Campbelltown (C) (NSW),LGA11500,0.0694,0.063,0.058,0.053,0.048,0.045,0.055075,0.067405681,0.082497063,0.100967239,0.0853
Canada Bay (A),LGA11520,0.0315,0.039,0.048,0.059,0.073,0.061,0.05905,0.057162336,0.055335015,0.053566109,0.0532
Cessnock (C),LGA11720,0.0792,0.083,0.087,0.091,0.095,0.094,0.094325,0.094651124,0.094978375,0.095306758,0.0953
Clarence Valley (A),LGA11730,0.0905,0.078,0.068,0.059,0.051,0.042,0.05625,0.075334821,0.10089485,0.135127031,0.099
Cobar (A),LGA11750,0.0506,0.061,0.073,0.088,0.107,0.092,0.085,0.078532609,0.072557302,0.067036637,0.064
Coffs Harbour (C),LGA11800,0.0811,0.069,0.058,0.050,0.042,0.032,0.043775,0.059882832,0.081917843,0.112061049,0.0791
Coolamon (A),LGA12000,0.0596,0.067,0.075,0.084,0.093,0.088,0.080475,0.073593473,0.067300395,0.061545446,0.0579
Coonamble (A),LGA12150,0.0685,0.068,0.068,0.067,0.067,0.067,0.075825,0.085812397,0.097115299,0.109906978,0.1023
Cowra (A),LGA12350,0.0618,0.059,0.057,0.054,0.052,0.051,0.05565,0.060723971,0.066260568,0.072301973,0.0696
Dungog (A),LGA12700,0.0462,0.056,0.068,0.083,0.101,0.086,0.0791,0.072753605,0.066916397,0.061547523,0.0584
Eurobodalla (A),LGA12750,0.0835,0.086,0.089,0.092,0.095,0.094,0.0895,0.085215426,0.081135964,0.077251795,0.076
Fairfield (C),LGA12850,0.0954,0.087,0.079,0.071,0.065,0.06,0.074325,0.092070094,0.114051829,0.141281703,0.1173
Forbes (A),LGA12900,0.0562,0.057,0.057,0.058,0.058,0.058,0.05805,0.058100043,0.058150129,0.058200259,0.0582
Georges River (A),LGA12930,0.0504,0.056,0.061,0.067,0.074,0.071,0.070675,0.070351488,0.070029456,0.069708899,0.0697
Gilgandra (A),LGA12950,0.0535,0.055,0.056,0.057,0.058,0.058,0.058525,0.059054752,0.059589299,0.060128685,0.0601
Glen Innes Severn (A),LGA13010,0.0738,0.065,0.057,0.051,0.045,0.039,0.05155,0.068138526,0.090065154,0.119047658,0.0892
Goulburn Mulwaree (A),LGA13310,0.058,0.055,0.053,0.050,0.048,0.047,0.05205,0.057642606,0.06383612,0.070695108,0.0672
Greater Hume Shire (A),LGA13340,0.0358,0.040,0.044,0.049,0.055,0.052,0.05105,0.050117356,0.04920175,0.048302872,0.0482
Griffith (C),LGA13450,0.0378,0.039,0.041,0.043,0.044,0.044,0.0455,0.047051136,0.048655152,0.050313851,0.05
