LGA,region_id,yr_2006_Couple family with children,yr_2007_Couple family with children,yr_2008_Couple family with children,yr_2009_Couple family with children,yr_2010_Couple family with children,yr_2011_Couple family with children,yr_2012_Couple family with children,yr_2013_Couple family with children,yr_2014_Couple family with children,yr_2015_Couple family with children,yr_2016_Couple family with children,yr_2006One parent family,yr_2007One parent family,yr_2008One parent family,yr_2009One parent family,yr_2010One parent family,yr_2011One parent family,yr_2012One parent family,yr_2013One parent family,yr_2014One parent family,yr_2015One parent family,yr_2016One parent family,,,,
Albury (C),LGA10050,0.54891586,0.514540861,0.482318543,0.452114097,0.423801157,0.411415864,0.412442102,0.4134709,0.414502264,0.415536201,0.407310911,0.2184,0.2093,0.2006,0.1922,0.1842,0.181945474,0.182646591,0.183350409,0.18405694,0.184766193,0.179141007,,,,
Armidale Regional (A),LGA10130,0.431121608,0.424700501,0.418375029,0.412143769,0.406005316,0.405437179,0.453938428,0.508241738,0.569041193,0.637113906,0.211432181,0.1794,0.1795,0.1796,0.1796,0.1797,0.179720794,0.200215495,0.223047338,0.248482841,0.276818915,0.097741986,,,,
Ballina (A),LGA10250,0.560939597,0.512549914,0.468334587,0.427933512,0.391017653,0.367380864,0.378557361,0.39007387,0.401940736,0.414168616,0.322674878,0.1656,0.1689,0.1723,0.1757,0.1792,0.178795715,0.186269,0.194054653,0.20216573,0.210615832,0.148902574,,,,
Bathurst Regional (A),LGA10470,0.536205823,0.510224966,0.485502962,0.461978817,0.439594491,0.432282392,0.455361675,0.479673146,0.505282591,0.532259309,0.339965261,0.1836,0.1803,0.1771,0.1739,0.1708,0.170420027,0.17720078,0.184251329,0.191582408,0.199205179,0.143297016,,,,
Bega Valley (A),LGA10550,0.571247578,0.514013686,0.462514117,0.416174344,0.374477401,0.342312009,0.370887011,0.401847354,0.435392157,0.471737162,0.228012001,0.1410,0.1433,0.1457,0.1481,0.1505,0.150280584,0.162487553,0.175686067,0.189956669,0.205386441,0.101452708,,,,
Bellingen (A),LGA10600,0.524544457,0.480576105,0.440293267,0.403387016,0.36957432,0.348671049,0.412784966,0.488688203,0.578548589,0.684932576,0.09221538,0.1874,0.1902,0.1930,0.1959,0.1989,0.198628179,0.235297699,0.27873692,0.330195625,0.39115432,0.051950103,,,,
Berrigan (A),LGA10650,0.522474625,0.477695858,0.436754862,0.39932272,0.365098705,0.343359556,0.414968432,0.501511599,0.606103656,0.732508765,0.056924049,0.1829,0.1688,0.1557,0.1437,0.1326,0.126330403,0.152248231,0.183483338,0.221126611,0.266492742,0.022659087,,,,
Bland (A),LGA10800,0.602447807,0.555816747,0.512795055,0.473103356,0.4364839,0.415923567,0.508910459,0.622686175,0.761898417,0.932233958,0.043975999,0.1001,0.1047,0.1095,0.1145,0.1198,0.118471338,0.143529721,0.173888312,0.21066818,0.255227516,0.018237802,,,,
Blayney (A),LGA10850,0.507399394,0.490232259,0.473645949,0.457620814,0.442137866,0.438730853,0.532485097,0.646274079,0.784379108,0.951996383,0.06371388,0.1820,0.1751,0.1684,0.1620,0.1558,0.154266958,0.186892596,0.22641817,0.274302935,0.332314762,0.023764409,,,,
Blue Mountains (C),LGA10900,0.496010352,0.486082791,0.476353929,0.466819788,0.457476471,0.456300109,0.389753788,0.332912511,0.284360905,0.242890014,0.722485394,0.1883,0.1805,0.1731,0.1659,0.1591,0.157230526,0.13363353,0.113577948,0.096532287,0.082044821,0.251618506,,,,
