LGA,region_id,yr2006_x200_799_ppt,yr2007_x200_799_ppt,yr2008_x200_799_ppt,yr2009_x200_799_ppt,yr2010_x200_799_ppt,yr2011_x200_799_ppt,yr2012_x200_799_ppt,yr2013_x200_799_ppt,yr2014_x200_799_ppt,yr2015_x200_799_ppt,yr2016_x200_799_ppt
Albury (C),LGA10050,0.6254,0.598924603,0.573570003,0.549288753,0.526035415,0.519498411,0.522980917,0.526486768,0.53001612,0.533569132,0.533428433
Armidale Regional (A),LGA10130,0.6341,0.610996601,0.588734973,0.567284447,0.546615469,0.541686405,0.546801822,0.551965548,0.557178037,0.56243975,0.562148076
Ballina (A),LGA10250,0.6803,0.655498186,0.631600576,0.608574205,0.586387311,0.581092744,0.57983842,0.578586804,0.57733789,0.576091672,0.57607545
Bathurst Regional (A),LGA10470,0.598,0.571721251,0.546597306,0.522577417,0.499613068,0.492885004,0.497518067,0.50219468,0.506915252,0.511680198,0.511417255
Bega Valley (A),LGA10550,0.702,0.676090164,0.651136624,0.627104083,0.603958551,0.598360656,0.603229346,0.608137651,0.613085893,0.618074398,0.617835415
Bellingen (A),LGA10600,0.7157,0.690006739,0.665235854,0.64135423,0.618329944,0.612926957,0.616315667,0.619723111,0.623149395,0.626594622,0.626481795
Berrigan (A),LGA10650,0.7004,0.676334823,0.653096505,0.630656638,0.608987786,0.60413929,0.609081385,0.614063907,0.619087188,0.624151562,0.623907667
Bland (A),LGA10800,0.6631,0.639540219,0.616817512,0.594902137,0.57376541,0.568860878,0.565962978,0.563079841,0.560211391,0.557357554,0.557269279
Blayney (A),LGA10850,0.6296,0.601240303,0.57415804,0.548295671,0.523598246,0.516161213,0.519119355,0.522094449,0.525086594,0.528095888,0.527993779
Blue Mountains (C),LGA10900,0.5464,0.522126349,0.498931048,0.476766191,0.455586,0.449305397,0.456118463,0.463034838,0.470056091,0.477183811,0.476557659
Botany Bay (C),LGA11100,0.5976,0.562399309,0.529272059,0.498096118,0.468756547,0.456797235,0.446843518,0.437106695,0.42758204,0.418264929,0.416982368
Broken Hill (C),LGA11250,0.6978,0.673960833,0.650936091,0.628697951,0.60721954,0.602443332,0.599584564,0.596739361,0.59390766,0.591089396,0.591008259
Burwood (A),LGA11300,0.5341,0.5097099,0.486433594,0.464220218,0.443021234,0.436539601,0.437014158,0.43748923,0.437964819,0.438440926,0.438437828
Byron (A),LGA11350,0.6923,0.665583991,0.639898958,0.615205117,0.591464216,0.585435963,0.584351028,0.583268103,0.582187185,0.581108271,0.581096222
Cabonne (A),LGA11400,0.6434,0.61070596,0.579673252,0.550217454,0.522258437,0.512623841,0.514627881,0.516639755,0.518659495,0.52068713,0.52064
Camden (A),LGA11450,0.5077,0.479364287,0.452610046,0.427349009,0.40349784,0.39435715,0.393615451,0.392875148,0.392136237,0.391398715,0.391390356
Campbelltown (C) (NSW),LGA11500,0.5726,0.546516059,0.521620333,0.497858695,0.475179483,0.468264236,0.472018732,0.47580333,0.479618273,0.483463803,0.483282217
Canada Bay (A),LGA11520,0.4684,0.434706778,0.403437196,0.374416916,0.347484139,0.33362711,0.336041008,0.338472371,0.340921325,0.343387998,0.3432827
Cessnock (C),LGA11720,0.6614,0.632268877,0.604420823,0.577799327,0.552350365,0.544875507,0.552050816,0.559320615,0.566686148,0.574148675,0.573576744
Clarence Valley (A),LGA11730,0.7229,0.702136302,0.681968996,0.66238095,0.643355528,0.63984521,0.646719215,0.65366707,0.660689568,0.667787509,0.667341233
Cobar (A),LGA11750,0.5301,0.507712195,0.486269898,0.465733178,0.446063788,0.44054878,0.441052653,0.441557101,0.442062126,0.442567729,0.442564269
Coffs Harbour (C),LGA11800,0.6953,0.66790448,0.64158837,0.616309142,0.592025941,0.585717918,0.587361823,0.589010341,0.590663487,0.592321272,0.592293537
Coolamon (A),LGA12000,0.7118,0.682410658,0.654234766,0.627222221,0.601324991,0.594242632,0.581479174,0.568989857,0.556768792,0.544810218,0.543188802
Coonamble (A),LGA12150,0.7182,0.689090917,0.661161643,0.634364359,0.608653186,0.601763668,0.606624249,0.611524089,0.616463506,0.62144282,0.621205989
Cowra (A),LGA12350,0.7029,0.684544844,0.666669006,0.649259967,0.632305539,0.629479378,0.631760683,0.634050257,0.636348128,0.638654326,0.6386046
Dungog (A),LGA12700,0.6257,0.601910253,0.579025016,0.5570099,0.53583182,0.530541012,0.535166662,0.539832641,0.544539302,0.549287,0.549043611
Eurobodalla (A),LGA12750,0.7283,0.70521434,0.68286045,0.661215134,0.64025593,0.635957361,0.639522203,0.643107027,0.646711945,0.650337071,0.650216727
Fairfield (C),LGA12850,0.6315,0.609184336,0.587657253,0.566890884,0.546858348,0.542237344,0.550159926,0.558198265,0.566354051,0.574629001,0.573927674
Forbes (A),LGA12900,0.6917,0.668983831,0.647013684,0.625765062,0.605214266,0.600835322,0.596340562,0.591879427,0.587451664,0.583057026,0.582856282
Georges River (A),LGA12930,0.5347,0.506889859,0.480526144,0.455533625,0.431840985,0.423459436,0.426095617,0.428748209,0.431417314,0.434103036,0.43400416
Gilgandra (A),LGA12950,0.6985,0.675899872,0.654030977,0.632869655,0.612393012,0.60809949,0.610115021,0.612137233,0.614166148,0.616201787,0.616161616
Glen Innes Severn (A),LGA13010,0.7311,0.70877334,0.687128502,0.666144663,0.645801638,0.64179336,0.651074227,0.660489303,0.670040529,0.679729874,0.678916828
Goulburn Mulwaree (A),LGA13310,0.6372,0.613893887,0.591440214,0.569807802,0.548966614,0.543975547,0.54188149,0.539795494,0.537717528,0.535647561,0.535599318
Greater Hume Shire (A),LGA13340,0.6513,0.62493114,0.599629864,0.575352947,0.552058918,0.545824561,0.546043865,0.546263256,0.546482735,0.546702303,0.546701774
Griffith (C),LGA13450,0.6397,0.616305337,0.593766247,0.572051441,0.551130774,0.546121347,0.53871647,0.531411997,0.524206564,0.517098831,0.51650184
Gunnedah (A),LGA13550,0.6901,0.65656417,0.624658033,0.594302395,0.565421908,0.555956679,0.551784568,0.547643766,0.543534039,0.539455153,0.539268236
Gwydir (A),LGA13660,0.7251,0.697655806,0.671250343,0.645844296,0.621399839,0.615323224,0.617639509,0.619964513,0.62229827,0.624640811,0.624588364
Hawkesbury (C),LGA13800,0.543,0.518517947,0.495139708,0.472815516,0.451497847,0.445071789,0.446765979,0.448466618,0.450173731,0.451887341,0.451848549
Hornsby (A),LGA14000,0.4665,0.436756547,0.4089095,0.382837945,0.35842868,0.347526189,0.355929027,0.364535036,0.37334913,0.38237634,0.381137538
Hunters Hill (A),LGA14100,0.4622,0.420643666,0.382823655,0.348404037,0.317079081,0.295974663,0.300756206,0.305614996,0.310552282,0.31556933,0.315100836
Inner West (A),LGA14170,0.4981,0.464359567,0.432904653,0.403580441,0.3762426,0.36313827,0.360790884,0.358458672,0.356141535,0.353839378,0.353748726
Inverell (A),LGA14200,0.7161,0.691161829,0.667092129,0.643860657,0.621438219,0.616347316,0.619839643,0.623351758,0.626883774,0.630435803,0.630316625
Junee (A),LGA14300,0.6654,0.639876696,0.615332411,0.591729591,0.569032124,0.563306784,0.564003267,0.564700611,0.565398817,0.566097886,0.566092715
Kempsey (A),LGA14350,0.743,0.722029982,0.701651811,0.681848781,0.662604661,0.659119929,0.664900925,0.670732624,0.676615473,0.682549918,0.682243912
Kiama (A),LGA14400,0.5716,0.547861427,0.525108718,0.50330093,0.48239882,0.476645708,0.479149823,0.481667095,0.484197591,0.486741381,0.48666217
Ku-ring-gai (A),LGA14500,0.4175,0.383065676,0.351471407,0.322482952,0.295885389,0.279762706,0.289315717,0.299194934,0.309411495,0.319976919,0.317974752
Kyogle (A),LGA14550,0.7231,0.703850155,0.685112765,0.666874189,0.649121147,0.64610062,0.655726665,0.665496125,0.675411138,0.685473871,0.6846048
Lachlan (A),LGA14600,0.6885,0.65991567,0.63251807,0.606257932,0.581088031,0.574162679,0.577539396,0.580935971,0.584352521,0.587789165,0.587669544
Lake Macquarie (C),LGA14650,0.6322,0.603958393,0.576978394,0.551203643,0.526580302,0.519233572,0.522472483,0.525731597,0.529011042,0.532310943,0.532189215
Lane Cove (A),LGA14700,0.4154,0.379849772,0.347341957,0.317616185,0.290434365,0.273199087,0.273547795,0.273896949,0.274246548,0.274596594,0.274593921
Leeton (A),LGA14750,0.6286,0.604668331,0.581647774,0.559503641,0.538202565,0.532873324,0.533470952,0.53406925,0.534668219,0.53526786,0.535263835
Lismore (C),LGA14850,0.6971,0.670750189,0.645396379,0.621000923,0.597527595,0.591700756,0.596034589,0.600400165,0.604797715,0.609227475,0.609036088
Lithgow (C),LGA14870,0.6403,0.619019969,0.598447168,0.578558094,0.559330022,0.555179876,0.562997409,0.570925022,0.578964264,0.587116708,0.58645001
Liverpool (C),LGA14900,0.5695,0.542594604,0.516960325,0.492537108,0.469267739,0.461878418,0.465934233,0.470025663,0.47415302,0.47831662,0.478101678
Liverpool Plains (A),LGA14920,0.6929,0.669388467,0.646674729,0.624731715,0.603533274,0.598853868,0.59739299,0.595935675,0.594481916,0.593031703,0.593010355
Maitland (C),LGA15050,0.6014,0.570202862,0.54062405,0.512579615,0.485989963,0.476611448,0.484033107,0.491570335,0.49922493,0.50699872,0.506298086
Mid-Coast (A),LGA15240,0.729,0.708831312,0.689220616,0.670152474,0.651611876,0.648325249,0.653786523,0.659293801,0.664847471,0.670447923,0.670170346
Mid-Western Regional (A),LGA15270,0.6761,0.64489354,0.615127463,0.586735287,0.559653596,0.55127416,0.55504494,0.558841513,0.562664055,0.566512743,0.566357281
Moree Plains (A),LGA15300,0.6277,0.597663889,0.569065038,0.541834672,0.515907308,0.507555556,0.509044248,0.510537306,0.512034744,0.513536574,0.513510324
Mosman (A),LGA15350,0.3804,0.344548838,0.312076503,0.282664554,0.256024562,0.236995351,0.240134812,0.24331586,0.246539048,0.249804933,0.249553193
Murray River (A),LGA15520,0.6888,0.666153571,0.644251714,0.623069948,0.602584598,0.598214286,0.596672713,0.595135112,0.593601474,0.592071788,0.592047994
Muswellbrook (A),LGA15650,0.5633,0.528475735,0.495804372,0.465152814,0.436396192,0.424002941,0.441006426,0.458691791,0.477086379,0.496218632,0.492016884
Nambucca (A),LGA15700,0.7647,0.745148513,0.726096909,0.707532408,0.689442554,0.686494052,0.686289053,0.686084116,0.68587924,0.685674425,0.685674058
Narrabri (A),LGA15750,0.6497,0.621657567,0.594825504,0.569151571,0.544585779,0.537530266,0.536536101,0.535543775,0.534553284,0.533564625,0.533553606
Narrandera (A),LGA15800,0.7021,0.672227697,0.643626374,0.616241953,0.59002266,0.58261079,0.586718072,0.59085431,0.595019707,0.59921447,0.599039919
Narromine (A),LGA15850,0.6894,0.659457126,0.630814768,0.60341644,0.57720811,0.569628503,0.569379369,0.569130344,0.568881428,0.568632621,0.568631967
Newcastle (C),LGA15900,0.6241,0.590351346,0.558427675,0.528230299,0.499665868,0.489105384,0.491047493,0.492997312,0.494954874,0.496920209,0.496873817
North Sydney (A),LGA15950,0.3674,0.332494305,0.300904907,0.272316734,0.246444647,0.22777722,0.22767976,0.227582342,0.227484966,0.227387631,0.227387381
Oberon (A),LGA16100,0.6041,0.584292367,0.565134201,0.546604205,0.528681782,0.52486947,0.526434735,0.528004668,0.529579283,0.531158593,0.53113053
Orange (C),LGA16150,0.6166,0.582991104,0.551214122,0.521169201,0.492761933,0.482164417,0.486862086,0.491605524,0.496395176,0.501231494,0.500955093
