LGA,region_id,2006_Non-Indigenous_ppt,2007_Non-Indigenous_ppt,2008_Non-Indigenous_ppt,2009_Non-Indigenous_ppt,2010_Non-Indigenous_ppt,2011_Total_Non_Indig_Males_ppt,2012_Non-Indigenous_ppt,2013_Non-Indigenous_ppt,2014_Non-Indigenous_ppt,2015_Non-Indigenous_ppt,2016_Non-Indigenous_ppt,2006_Total_Indig_Males_ppt,2007_Total_Indig_Males_ppt,2008_Total_Indig_Males_ppt,2009_Total_Indig_Males_ppt,2010_Total_Indig_Males_ppt,2011_Total_Indig_Males_ppt,2012_Total_Indig_Males_ppt,2013_Total_Indig_Males_ppt,2014_Total_Indig_Males_ppt,2015_Total_Indig_Males_ppt,2016_Indigenous_ppt
Albury (C),LGA10050,0.9769,0.976456888,0.976013977,0.975571266,0.975128757,0.975127551,0.973856782,0.972587669,0.97132021,0.970054403,0.970044475,0.0231,0.023701717,0.024319107,0.02495258,0.025602553,0.025506867,0.026619032,0.027779689,0.028990955,0.030255034,0.029955525
Armidale Regional (A),LGA10130,0.9486,0.943704215,0.938833698,0.933988317,0.929167944,0.92901686,0.926547216,0.924084137,0.921627606,0.919177605,0.919138284,0.0514,0.057651682,0.064663745,0.07252867,0.081350192,0.076406729,0.077520476,0.078650457,0.07979691,0.080960074,0.080861716
Ballina (A),LGA10250,0.9947,0.988373205,0.982086651,0.975840084,0.969633247,0.96939282,0.968221398,0.967051392,0.9658828,0.964715619,0.964707133,0.0053,0.011868389,0.026577107,0.059514615,0.133272194,0.031573558,0.032503385,0.033460595,0.034445995,0.035460414,0.035292867
Bathurst Regional (A),LGA10470,0.9399,0.943326152,0.946764793,0.950215968,0.953679724,0.953604607,0.949891521,0.946192894,0.942508668,0.938838787,0.938752265,0.0601,0.057238163,0.054512601,0.051916824,0.049444653,0.048652652,0.051801423,0.05515398,0.058723513,0.062524064,0.061247735
Bega Valley (A),LGA10550,0.9581,0.961229897,0.964370018,0.967520398,0.970681069,0.970619587,0.969435905,0.968253667,0.967072871,0.965893515,0.965884861,0.0419,0.038992438,0.03628664,0.033768605,0.031425303,0.030269751,0.031231098,0.032222977,0.033246357,0.034302239,0.034115139
Bellingen (A),LGA10600,0.9973,0.989806178,0.982368665,0.974987038,0.967660878,0.967324711,0.966047136,0.964771248,0.963497046,0.962224526,0.962214411,0.0027,0.010469757,0.04059845,0.157428118,0.610457102,0.033779029,0.034780669,0.03581201,0.036873934,0.037967346,0.037785589
Berrigan (A),LGA10650,0.9725,0.974155793,0.975814406,0.977475842,0.979140108,0.979123173,0.977911934,0.976702193,0.975493948,0.974287198,0.974278215,0.0275,0.02595549,0.024497727,0.023121837,0.021823222,0.021321962,0.022421917,0.023578618,0.02479499,0.026074112,0.025721785
Bland (A),LGA10800,0.9848,0.977941085,0.971129941,0.964366236,0.957649638,0.957364341,0.956078184,0.954793755,0.953511052,0.952230072,0.952219714,0.0152,0.022533603,0.033405479,0.04952275,0.073416184,0.044534413,0.045345881,0.046172135,0.047013445,0.047870084,0.047780286
Blayney (A),LGA10850,0.9726,0.971397622,0.97019673,0.968997323,0.967799399,0.967790488,0.96443488,0.961090908,0.95775853,0.954437706,0.954368058,0.0274,0.028870373,0.030419652,0.032052069,0.033772088,0.033281493,0.036369105,0.039743163,0.043430242,0.047459381,0.045631942
Blue Mountains (C),LGA10900,0.972,0.974242065,0.976489302,0.978741723,0.980999339,0.980968261,0.979394848,0.977823959,0.97625559,0.974689736,0.97467461,0.028,0.025850243,0.023865538,0.022033213,0.020341569,0.019400973,0.020882077,0.022476252,0.024192128,0.026038997,0.02532539
Botany Bay (C),LGA11100,0.9839,0.983911239,0.983922477,0.983933716,0.983944955,0.983944954,0.983548029,0.983151264,0.982754659,0.982358214,0.982357254,0.0161,0.016154254,0.016208691,0.016263311,0.016318116,0.016317016,0.016648449,0.016986613,0.017331647,0.017683688,0.017642746
Broken Hill (C),LGA11250,0.7071,0.760824588,0.818631103,0.880829687,0.947754042,0.92199835,0.918349461,0.914715012,0.911094947,0.907489208,0.907402792,0.2929,0.24082516,0.198008732,0.162804659,0.133859535,0.084600639,0.086599781,0.088646164,0.090740903,0.092885142,0.092597208
Burwood (A),LGA11300,0.3931,0.543873033,0.752474881,1.041085717,1.440392892,0.99619213,0.996123871,0.996055616,0.995987366,0.99591912,0.995919092,0.6069,0.456130606,0.342816164,0.257651911,0.193644624,0.003822425,0.003887046,0.003952759,0.004019583,0.004087537,0.004080908
Byron (A),LGA11350,0.9323,0.944628931,0.957120902,0.96977807,0.982602619,0.981615724,0.981099743,0.980584033,0.980068594,0.979553427,0.9795518,0.0677,0.055457147,0.045428289,0.037213047,0.030483448,0.018728588,0.019158491,0.019598262,0.020048128,0.02050832,0.0204482
Cabonne (A),LGA11400,0.9956,0.988854979,0.982155655,0.975501717,0.968892859,0.968619917,0.966021493,0.963430039,0.960845538,0.95826797,0.958226221,0.0044,0.011399174,0.029532081,0.076509391,0.198214506,0.032396694,0.034740965,0.037254871,0.039950687,0.042841576,0.041773779
Camden (A),LGA11450,0.983,0.981929067,0.9808593,0.979790699,0.978723262,0.978716267,0.977417708,0.976120873,0.974825758,0.973532361,0.973522033,0.017,0.018186645,0.019456122,0.020814211,0.022267099,0.021746582,0.022929428,0.024176612,0.025491633,0.026878182,0.026477967
Campbelltown (C) (NSW),LGA11500,0.9753,0.973415959,0.971535558,0.96965879,0.967785647,0.967763838,0.966312809,0.964863957,0.963417277,0.961972766,0.961959725,0.0247,0.026852487,0.029192553,0.031736544,0.034502232,0.033309947,0.034492529,0.035717096,0.036985137,0.038298197,0.038040275
Canada Bay (A),LGA11520,0.9856,0.988253995,0.990915137,0.993583444,0.996258937,0.99621598,0.995899012,0.995582144,0.995265377,0.994948711,0.994948106,0.0144,0.011749598,0.009587018,0.007822473,0.006382702,0.003798393,0.004111768,0.004450998,0.004818214,0.005215727,0.005051894
Cessnock (C),LGA11720,0.9384,0.940915225,0.943437191,0.945965917,0.948501421,0.948460899,0.940530914,0.932667231,0.924869295,0.917136557,0.916740959,0.0616,0.05978493,0.058023343,0.056313661,0.054654356,0.054339722,0.061569552,0.069761301,0.079042952,0.089559514,0.083259041
