LGA,region_id,2006_Government_ppt,2007_Government_ppt,2008_Government_ppt,2009_Government_ppt,2010_Government_ppt,2011_Government_ppt,2012_Government_ppt,2013_Government_ppt,2014_Government_ppt,2015_Government_ppt,2016_Government_ppt
Albury (C),LGA10050,0.2195,0.209473156,0.199904342,0.190772636,0.182058069,0.179392625,0.167344469,0.156105476,0.145621304,0.135841258,0.1312
Armidale Regional (A),LGA10130,0.1991,0.199208991,0.199318041,0.199427151,0.199536321,0.199535963,0.194926972,0.190424442,0.186025915,0.181728986,0.1811
Ballina (A),LGA10250,0.1928,0.191777831,0.190761081,0.189749721,0.188743723,0.188711323,0.185858492,0.183048789,0.180281561,0.177556167,0.1773
Bathurst Regional (A),LGA10470,0.2086,0.204154646,0.199804024,0.195546116,0.191378946,0.190818584,0.183438938,0.17634469,0.169524802,0.162968663,0.1613
Bega Valley (A),LGA10550,0.1959,0.184127381,0.173062238,0.162662055,0.152886872,0.148809524,0.153107143,0.157528877,0.162078311,0.166759133,0.166
Bellingen (A),LGA10600,0.1625,0.140257353,0.121059231,0.104488906,0.090186692,0.073529412,0.092822059,0.117176711,0.147921536,0.186733189,0.1507
Berrigan (A),LGA10650,0.0906,0.136547561,0.205797311,0.310166898,0.467467256,0.274390244,0.219067683,0.174899257,0.139636069,0.111482644,0.0531
Bland (A),LGA10800,0.3662,0.312507143,0.266686822,0.227584754,0.194215896,0.151428571,0.159171429,0.167310194,0.175865112,0.18485746,0.1824
Blayney (A),LGA10850,0.2208,0.189325597,0.162337779,0.139196996,0.119354866,0.094902386,0.09777679,0.100738253,0.103789413,0.106932987,0.1064
Blue Mountains (C),LGA10900,0.1057,0.15936482,0.240275742,0.362265852,0.546191413,0.320359281,0.267144461,0.222769145,0.185765004,0.154907614,0.1075
Botany Bay (C),LGA11100,0.3275,0.279983639,0.239361337,0.204632849,0.174943053,0.137434555,0.159350916,0.184762227,0.21422582,0.248387901,0.2251
Broken Hill (C),LGA11250,0.261,0.221480412,0.187944723,0.159486876,0.135338004,0.102921647,0.113641235,0.1254773,0.138546125,0.152976106,0.1458
Burwood (A),LGA11300,0.1052,0.102378261,0.099632208,0.096959812,0.094359096,0.093913043,0.092434783,0.090979791,0.089547701,0.088138154,0.088
Byron (A),LGA11350,0.1083,0.103428947,0.098776982,0.09433425,0.090091341,0.088815789,0.090411842,0.092036576,0.093690508,0.095374161,0.0952
Cabonne (A),LGA11400,0.1725,0.162496411,0.153072948,0.144195969,0.135833783,0.132485644,0.122514233,0.113293311,0.104766394,0.096881247,0.0926
Camden (A),LGA11450,0.1395,0.216694698,0.336606396,0.522873272,0.812214092,0.448278793,0.357684095,0.285398091,0.227720694,0.181699584,0.0859
Campbelltown (C) (NSW),LGA11500,0.4814,0.386462088,0.310247082,0.249062599,0.199944437,0.101648352,0.164336264,0.265684658,0.429535977,0.694436619,0.3524
Canada Bay (A),LGA11520,0.1059,0.126973291,0.152240006,0.182534605,0.218857597,0.190193165,0.161719874,0.13750924,0.116923113,0.099418878,0.0763
Cessnock (C),LGA11720,0.2096,0.194980505,0.181380712,0.168729498,0.1569607,0.15112202,0.151166515,0.151211023,0.151255544,0.151300079,0.1513
Clarence Valley (A),LGA11730,0.1869,0.212810135,0.242312218,0.275904205,0.314153083,0.290540541,0.249855405,0.214867514,0.184779066,0.158903981,0.1278
Cobar (A),LGA11750,0.3887,0.342319351,0.301472957,0.265500455,0.233820282,0.203177405,0.216008054,0.229648958,0.244151284,0.259569433,0.2545
Coffs Harbour (C),LGA11800,0.2269,0.244249074,0.262924681,0.28302825,0.304668964,0.296296296,0.268422222,0.243170402,0.220294146,0.199569974,0.1848
Coolamon (A),LGA12000,0.4545,0.476010135,0.498538281,0.522132617,0.546843603,0.540540541,0.438230405,0.355284893,0.288038789,0.233520607,0.1313
Coonamble (A),LGA12150,0.7928,0.652739535,0.537422932,0.442478802,0.364308032,0.23255814,0.324418605,0.452563953,0.631326715,0.880700768,0.6
Cowra (A),LGA12350,0.3333,0.284195532,0.242325534,0.206624165,0.176182612,0.136882129,0.160811597,0.188924368,0.221951758,0.260752933,0.2326
Dungog (A),LGA12700,0.1572,0.164122222,0.171349261,0.178894539,0.186772069,0.184888889,0.165941667,0.148936136,0.133673315,0.119974612,0.1091
Eurobodalla (A),LGA12750,0.1901,0.223403531,0.262541493,0.308536016,0.362588299,0.323314126,0.289160594,0.258614897,0.231295917,0.206862799,0.1867
Fairfield (C),LGA12850,0.336,0.320950931,0.306575892,0.292844696,0.279728505,0.275803723,0.277502792,0.279212328,0.280932396,0.28266306,0.2826
