LGA,region_id,Aus_Male,Aus_Female,OS_Male,OS_Female,Total,Aus_Male_%,Aus_Female_%,OS_Male_%,OS_Female_%
Albury (C),LGA10050,20073,21517,2668,2844,47102,0.4262,0.4568,0.0566,0.0604
Armidale Regional (A),LGA10130,11299,12099,1735,1857,26990,0.2399,0.2569,0.0368,0.0394
Ballina (A),LGA10250,16434,17550,2134,2439,38557,0.3489,0.3726,0.0453,0.0518
Bathurst Regional (A),LGA10470,17330,17208,1824,1726,38088,0.3679,0.3653,0.0387,0.0366
Bega Valley (A),LGA10550,12964,13478,1859,2005,30306,0.2752,0.2861,0.0395,0.0426
Bellingen (A),LGA10600,4948,5223,702,804,11677,0.105,0.1109,0.0149,0.0171
Berrigan (A),LGA10650,3422,3442,326,312,7502,0.0727,0.0731,0.0069,0.0066
Bland (A),LGA10800,2456,2437,139,147,5179,0.0521,0.0517,0.003,0.0031
Blayney (A),LGA10850,3075,3125,209,223,6632,0.0653,0.0663,0.0044,0.0047
Blue Mountains (C),LGA10900,29078,30955,6095,6823,72951,0.6173,0.6572,0.1294,0.1449
Botany Bay (C),LGA11100,11507,11186,10033,10569,43295,0.2443,0.2375,0.213,0.2244
Broken Hill (C),LGA11250,7477,7896,392,396,16161,0.1587,0.1676,0.0083,0.0084
Burwood (A),LGA11300,6802,6958,10009,11043,34812,0.1444,0.1477,0.2125,0.2344
Byron (A),LGA11350,10373,11180,2666,2946,27165,0.2202,0.2374,0.0566,0.0625
Cabonne (A),LGA11400,5780,5735,384,428,12327,0.1227,0.1218,0.0082,0.0091
Campbelltown (C) (NSW),LGA11500,48153,49162,23859,25337,146511,0.3287,0.3356,0.1628,0.1729
Camden (A),LGA11450,29713,30834,6729,7028,74304,0.6308,0.6546,0.1429,0.1492
Canada Bay (A),LGA11520,22857,24010,16853,18786,82506,0.4853,0.5097,0.3578,0.3988
Cessnock (C),LGA11720,23760,23834,1692,1774,51060,0.5044,0.506,0.0359,0.0377
Clarence Valley (A),LGA11730,21107,21324,1790,2023,46244,0.4481,0.4527,0.038,0.0429
Cobar (A),LGA11750,1920,1795,157,176,4048,0.0408,0.0381,0.0033,0.0037
Coffs Harbour (C),LGA11800,27845,29315,4756,5380,67296,0.5912,0.6224,0.101,0.1142
Coolamon (A),LGA12000,1816,1832,61,68,3777,0.0386,0.0389,0.0013,0.0014
Coonamble (A),LGA12150,1585,1572,37,61,3255,0.0337,0.0334,0.0008,0.0013
Cowra (A),LGA12350,5212,5325,363,400,11300,0.1107,0.1131,0.0077,0.0085
Dungog (A),LGA12700,3908,3863,214,224,8209,0.083,0.082,0.0045,0.0048
Eurobodalla (A),LGA12750,14180,14698,2397,2538,33813,0.301,0.312,0.0509,0.0539
Fairfield (C),LGA12850,41515,39259,50936,56157,187867,0.8814,0.8335,1.0814,1.1922
Forbes (A),LGA12900,4131,4088,166,196,8581,0.0877,0.0868,0.0035,0.0042
Georges River (A),LGA12930,36428,36615,31868,34932,139843,0.7734,0.7774,0.6766,0.7416
Gilgandra (A),LGA12950,1805,1873,65,64,3807,0.0383,0.0398,0.0014,0.0014
Glen Innes Severn (A),LGA13010,3613,3604,277,301,7795,0.0767,0.0765,0.0059,0.0064
Goulburn Mulwaree (A),LGA13310,12366,12102,1550,1402,27420,0.2625,0.2569,0.0329,0.0298
Greater Hume Shire (A),LGA13340,4485,4437,315,297,9534,0.0952,0.0942,0.0067,0.0063
Griffith (C),LGA13450,9007,9126,2457,2354,22944,0.1912,0.1937,0.0522,0.05
Gunnedah (A),LGA13550,5274,5230,255,316,11075,0.112,0.111,0.0054,0.0067
Gwydir (A),LGA13660,2251,2187,83,105,4626,0.0478,0.0464,0.0018,0.0022
Hawkesbury (C),LGA13800,26106,26434,3794,4131,60465,0.5542,0.5612,0.0805,0.0877
Hornsby (A),LGA14000,42004,42947,25131,27504,137586,0.8918,0.9118,0.5335,0.5839
Hunters Hill (A),LGA14100,4843,4661,1733,1957,13194,0.1028,0.099,0.0368,0.0415
Inner West (A),LGA14170,51415,54305,30237,32076,168033,1.0916,1.1529,0.6419,0.681
Inverell (A),LGA14200,6822,7050,491,555,14918,0.1448,0.1497,0.0104,0.0118
Junee (A),LGA14300,2945,2247,287,177,5656,0.0625,0.0477,0.0061,0.0038
Kempsey (A),LGA14350,12046,11891,1004,1043,25984,0.2557,0.2525,0.0213,0.0221
Kiama (A),LGA14400,8411,8626,1431,1539,20007,0.1786,0.1831,0.0304,0.0327
Ku-ring-gai (A),LGA14500,33015,34665,21553,24313,113546,0.7009,0.736,0.4576,0.5162
Kyogle (A),LGA14550,3599,3544,414,434,7991,0.0764,0.0752,0.0088,0.0092
Lachlan (A),LGA14600,2576,2582,98,135,5391,0.0547,0.0548,0.0021,0.0029
Lake Macquarie (C),LGA14650,82401,85855,9346,10306,187908,1.7494,1.8227,0.1984,0.2188
Lane Cove (A),LGA14700,10612,10658,6233,6804,34307,0.2253,0.2263,0.1323,0.1445
Leeton (A),LGA14750,4491,4598,457,440,9986,0.0953,0.0976,0.0097,0.0093
Lismore (C),LGA14850,17206,18152,1947,2105,39410,0.3653,0.3854,0.0413,0.0447
Lithgow (C),LGA14870,8524,8260,1014,932,18730,0.181,0.1754,0.0215,0.0198
Liverpool (C),LGA14900,53162,52389,40410,42823,188784,1.1287,1.1122,0.8579,0.9092
Liverpool Plains (A),LGA14920,3301,3203,164,171,6839,0.0701,0.068,0.0035,0.0036
