LGA,region_id,Couple family with no children_ppt,Couple family with children_ppt,One parent family_ppt
Albury (C),LGA10050,0.413548081,0.407310911,0.179141007
Armidale Regional (A),LGA10130,0.226669825,0.211432181,0.097741986
Ballina (A),LGA10250,0.409758408,0.322674878,0.148902574
Bathurst Regional (A),LGA10470,0.306805621,0.339965261,0.143297016
Bega Valley (A),LGA10550,0.37359861,0.228012001,0.101452708
Bellingen (A),LGA10600,0.125769777,0.09221538,0.051950103
Berrigan (A),LGA10650,0.086688773,0.056924049,0.022659087
Bland (A),LGA10800,0.0543976,0.043975999,0.018237802
Blayney (A),LGA10850,0.063240171,0.06371388,0.023764409
Blue Mountains (C),LGA10900,0.651350071,0.722485394,0.251618506
Botany Bay (C),LGA11100,0.316121901,0.446786673,0.149534186
Broken Hill (C),LGA11250,0.151744829,0.116690352,0.083372809
Burwood (A),LGA11300,0.244591821,0.318016738,0.103426496
Byron (A),LGA11350,0.236538765,0.225564503,0.123480183
Cabonne (A),LGA11400,0.116848255,0.126006632,0.033317543
Camden (A),LGA11450,0.50205274,0.92744355,0.235907153
Campbelltown (C) (NSW),LGA11500,0.919390494,1.610295279,0.717511448
Canada Bay (A),LGA11520,0.742618033,0.84817622,0.233933365
Cessnock (C),LGA11720,0.415363967,0.463603348,0.241039002
Clarence Valley (A),LGA11730,0.51760619,0.343044371,0.192957524
Cobar (A),LGA11750,0.036870362,0.036396652,0.01397442
Coffs Harbour (C),LGA11800,0.649139428,0.563634928,0.291804832
Coolamon (A),LGA12000,0.038923101,0.035370283,0.01089531
Coonamble (A),LGA12150,0.02952787,0.023369651,0.01760619
Cowra (A),LGA12350,0.119848413,0.091741671,0.042712774
Dungog (A),LGA12700,0.086767725,0.079188378,0.027396179
Eurobodalla (A),LGA12750,0.444181273,0.221932733,0.129401547
Fairfield (C),LGA12850,0.946076109,2.077767251,0.937391442
Forbes (A),LGA12900,0.084399179,0.070819517,0.032212222
Georges River (A),LGA12930,1.03213327,1.546976157,0.456260856
Gilgandra (A),LGA12950,0.04042318,0.029212064,0.015869256
Glen Innes Severn (A),LGA13010,0.085741355,0.056529291,0.029291015
Goulburn Mulwaree (A),LGA13310,0.248855203,0.234407074,0.109742618
Greater Hume Shire (A),LGA13340,0.09482078,0.090873204,0.027790936
Griffith (C),LGA13450,0.185378178,0.233538607,0.07358282
Gunnedah (A),LGA13550,0.102873835,0.103268593,0.041054792
Gwydir (A),LGA13660,0.0543976,0.037186168,0.014921838
Hawkesbury (C),LGA13800,0.452708037,0.662403284,0.223038055
Hornsby (A),LGA14000,0.958866256,1.756276646,0.353702826
Hunters Hill (A),LGA14100,0.094741829,0.145112901,0.030001579
Inner West (A),LGA14170,1.446391915,1.496289278,0.482472762
Inverell (A),LGA14200,0.148034107,0.12229591,0.064108637
Junee (A),LGA14300,0.043739144,0.04302858,0.019106269
Kempsey (A),LGA14350,0.264329702,0.180720038,0.131217432
Kiama (A),LGA14400,0.217037739,0.199115743,0.054476551
Ku-ring-gai (A),LGA14500,0.811305858,1.477261961,0.262040107
Kyogle (A),LGA14550,0.090241592,0.056608243,0.033475446
Lachlan (A),LGA14600,0.052029054,0.046660351,0.021553766
Lake Macquarie (C),LGA14650,1.714116532,1.82330649,0.755487131
Lane Cove (A),LGA14700,0.296778778,0.372809095,0.079188378
Leeton (A),LGA14750,0.088109901,0.089294173,0.034975525
Lismore (C),LGA14850,0.342807516,0.318885204,0.186878257
Lithgow (C),LGA14870,0.173772304,0.153244908,0.079188378
Liverpool (C),LGA14900,0.94923417,2.327885678,0.74506553
Liverpool Plains (A),LGA14920,0.069872099,0.056450339,0.028422549
Maitland (C),LGA15050,0.596162956,0.752881731,0.302936997
Mid-Coast (A),LGA15240,1.011447971,0.580688457,0.343123322
Mid-Western Regional (A),LGA15270,0.203379125,0.195957682,0.074767093
Moree Plains (A),LGA15300,0.093083847,0.096399811,0.054476551
Mosman (A),LGA15350,0.246249803,0.277356703,0.06371388
Murray River (A),LGA15520,0.128769935,0.088030949,0.026606664
Muswellbrook (A),LGA15650,0.120480025,0.137375651,0.062608558
Nambucca (A),LGA15700,0.195483973,0.121585347,0.078793621
Narrabri (A),LGA15750,0.107689878,0.103821254,0.044528659
Narrandera (A),LGA15800,0.047923575,0.043975999,0.019816832
Narromine (A),LGA15850,0.054081794,0.047765672,0.025185536
Newcastle (C),LGA15900,1.185536081,1.266382441,0.56837202
North Sydney (A),LGA15950,0.74664456,0.468182536,0.139349439
Oberon (A),LGA16100,0.049660508,0.03987052,0.016106111
Orange (C),LGA16150,0.308226749,0.338149376,0.15127112
Parkes (A),LGA16200,0.116532449,0.115111322,0.054239697
Penrith (C),LGA16350,1.246565609,2.00671088,0.794410232
Port Macquarie-Hastings (A),LGA16380,0.834675509,0.567503553,0.278619927
Port Stephens (A),LGA16400,0.660271593,0.571609032,0.244907627
Queanbeyan-Palerang Regional (A),LGA16490,0.428548871,0.561029528,0.161297963
Randwick (C),LGA16550,0.972445918,1.151586926,0.361755882
Richmond Valley (A),LGA16610,0.196668246,0.168877309,0.093004895
Rockdale (C),LGA16650,0.824174957,1.02226433,0.336728249
Ryde (C),LGA16700,0.868466761,1.182614874,0.300568451
Shellharbour (C),LGA16900,0.520053687,0.673298595,0.285015001
Shoalhaven (C),LGA16950,1.034264961,0.705984526,0.357887257
Singleton (A),LGA17000,0.169824728,0.225485552,0.069319438
Snowy Valleys (A),LGA17080,0.139665246,0.108558345,0.044923417
Strathfield (A),LGA17100,0.244828675,0.407705669,0.107689878
Tamworth Regional (A),LGA17310,0.494552345,0.470787936,0.23006474
Temora (A),LGA17350,0.059371546,0.048792042,0.018948366
Tenterfield (A),LGA17400,0.072793305,0.038133586,0.021553766
The Hills Shire (A),LGA17420,0.995420812,2.084399179,0.341781146
Tweed (A),LGA17550,0.849597347,0.690588978,0.35283436
Upper Hunter Shire (A),LGA17620,0.122848571,0.117716722,0.040738986
Upper Lachlan Shire (A),LGA17640,0.078635718,0.062529607,0.018790463
Uralla (A),LGA17650,0.059371546,0.049818411,0.018553608
Wagga Wagga (C),LGA17750,0.481446392,0.524553924,0.219879994
