LGA,region_id,x200_x799
Albury (C),LGA10050,0.533428433
Armidale Regional (A),LGA10130,0.562148076
Ballina (A),LGA10250,0.57607545
Bathurst Regional (A),LGA10470,0.511417255
Bega Valley (A),LGA10550,0.617835415
Bellingen (A),LGA10600,0.626481795
Berrigan (A),LGA10650,0.623907667
Bland (A),LGA10800,0.557269279
Blayney (A),LGA10850,0.527993779
Blue Mountains (C),LGA10900,0.476557659
Botany Bay (C),LGA11100,0.416982368
Broken Hill (C),LGA11250,0.591008259
Burwood (A),LGA11300,0.438437828
Byron (A),LGA11350,0.581096222
Cabonne (A),LGA11400,0.52064
Camden (A),LGA11450,0.391390356
Campbelltown (C) (NSW),LGA11500,0.483282217
Canada Bay (A),LGA11520,0.3432827
Cessnock (C),LGA11720,0.573576744
Clarence Valley (A),LGA11730,0.667341233
Cobar (A),LGA11750,0.442564269
Coffs Harbour (C),LGA11800,0.592293537
Coolamon (A),LGA12000,0.543188802
Coonamble (A),LGA12150,0.621205989
Cowra (A),LGA12350,0.6386046
Dungog (A),LGA12700,0.549043611
Eurobodalla (A),LGA12750,0.650216727
Fairfield (C),LGA12850,0.573927674
Forbes (A),LGA12900,0.582856282
Georges River (A),LGA12930,0.43400416
Gilgandra (A),LGA12950,0.616161616
Glen Innes Severn (A),LGA13010,0.678916828
Goulburn Mulwaree (A),LGA13310,0.535599318
Greater Hume Shire (A),LGA13340,0.546701774
Griffith (C),LGA13450,0.51650184
Gunnedah (A),LGA13550,0.539268236
Gwydir (A),LGA13660,0.624588364
Hawkesbury (C),LGA13800,0.451848549
Hornsby (A),LGA14000,0.381137538
Hunters Hill (A),LGA14100,0.315100836
Inner West (A),LGA14170,0.353748726
Inverell (A),LGA14200,0.630316625
Junee (A),LGA14300,0.566092715
Kempsey (A),LGA14350,0.682243912
Kiama (A),LGA14400,0.48666217
Ku-ring-gai (A),LGA14500,0.317974752
Kyogle (A),LGA14550,0.6846048
Lachlan (A),LGA14600,0.587669544
Lake Macquarie (C),LGA14650,0.532189215
Lane Cove (A),LGA14700,0.274593921
Leeton (A),LGA14750,0.535263835
Lismore (C),LGA14850,0.609036088
Lithgow (C),LGA14870,0.58645001
Liverpool (C),LGA14900,0.478101678
Liverpool Plains (A),LGA14920,0.593010355
Maitland (C),LGA15050,0.506298086
Mid-Coast (A),LGA15240,0.670170346
Mid-Western Regional (A),LGA15270,0.566357281
Moree Plains (A),LGA15300,0.513510324
Mosman (A),LGA15350,0.249553193
Murray River (A),LGA15520,0.592047994
Muswellbrook (A),LGA15650,0.492016884
Nambucca (A),LGA15700,0.685674058
Narrabri (A),LGA15750,0.533553606
Narrandera (A),LGA15800,0.599039919
Narromine (A),LGA15850,0.568631967
Newcastle (C),LGA15900,0.496873817
North Sydney (A),LGA15950,0.227387381
Oberon (A),LGA16100,0.53113053
Orange (C),LGA16150,0.500955093
Parkes (A),LGA16200,0.571231255
Penrith (C),LGA16350,0.442554703
Port Macquarie-Hastings (A),LGA16380,0.609271071
Port Stephens (A),LGA16400,0.563189392
Queanbeyan-Palerang Regional (A),LGA16490,0.361405836
Randwick (C),LGA16550,0.351331792
Richmond Valley (A),LGA16610,0.655792888
Rockdale (C),LGA16650,0.446260282
Ryde (C),LGA16700,0.3805837
Shellharbour (C),LGA16900,0.538569675
Shoalhaven (C),LGA16950,0.624571297
Singleton (A),LGA17000,0.461236024
Snowy Valleys (A),LGA17080,0.560673162
Strathfield (A),LGA17100,0.389980322
Tamworth Regional (A),LGA17310,0.544699676
Temora (A),LGA17350,0.606902734
Tenterfield (A),LGA17400,0.694926004
The Hills Shire (A),LGA17420,0.363023518
Tweed (A),LGA17550,0.607601666
Upper Hunter Shire (A),LGA17620,0.525859431
Upper Lachlan Shire (A),LGA17640,0.545077533
Uralla (A),LGA17650,0.596634834
Wagga Wagga (C),LGA17750,0.497009688
Walgett (A),LGA17900,0.657829534
Warrumbungle Shire (A),LGA18020,0.643490434
Waverley (A),LGA18050,0.288550247
Wentworth (A),LGA18200,0.583832335
Western Plains Regional (A),LGA18230,0.529467928
Willoughby (C),LGA18250,0.311974563
Wingecarribee (A),LGA18350,0.50841836
Wollondilly (A),LGA18400,0.439531259
Wollongong (C),LGA18450,0.518652382
Woollahra (A),LGA18500,0.227203084
Yass Valley (A),LGA18710,0.399947753
