date,LGA_Code_2014,LGA_name_2014,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
2016-03,10050,Albury (C),32,77,6436,77,1482,48,563,675,2279,3827,3120,3738,919,2201,194,809,7,11135,24,0,31,0,7,13,404,594
2016-03,10110,Armidale Dumaresq (A),94,130,2483,85,566,19,268,429,1019,1684,1358,2367,1047,916,123,368,0,4532,5,0,7,0,5,5,222,1196
2016-03,10150,Ashfield (A),6,8,4139,102,760,16,280,570,938,1659,1359,1604,504,955,82,161,8,6049,7,30,39,0,12,0,46,363
2016-03,10200,Auburn (C),10,5,5613,232,2514,71,1634,430,2232,6809,5820,6799,1657,3026,1098,645,20,11599,20,134,109,0,53,17,225,1296
2016-03,10250,Ballina (A),20,69,6865,101,1254,49,555,828,1921,3124,2396,2658,463,1609,205,480,11,10706,13,0,39,0,7,18,206,173
2016-03,10300,Balranald (A),5,5,272,0,53,0,28,20,92,162,125,107,23,55,9,27,0,450,0,0,0,0,0,0,6,0
2016-03,10350,Bankstown (C),27,51,20994,339,8730,362,5452,1483,7058,17598,15075,15389,3579,7123,2323,2280,65,40059,44,140,288,0,143,67,533,2889
2016-03,10470,Bathurst Regional (A),41,98,4558,73,1049,53,436,492,1692,2921,2389,2651,826,1210,163,700,6,8003,13,5,23,0,5,0,261,750
2016-03,10550,Bega Valley (A),14,55,6075,36,972,22,420,638,1952,2437,1879,2035,390,1262,173,429,11,9608,14,0,36,0,10,12,189,124
2016-03,10600,Bellingen (A),8,5,2125,37,375,7,186,222,673,1186,975,1043,185,683,100,189,5,3568,10,0,15,0,7,5,83,48
2016-03,10650,Berrigan (A),0,10,1690,10,277,5,112,213,333,612,463,488,106,273,31,108,5,2405,0,0,11,0,0,5,30,21
2016-03,10750,Blacktown (C),100,418,25957,487,10267,610,5346,1295,10469,28440,23629,21486,4218,11050,1920,5033,55,52975,81,218,365,0,107,84,1517,2796
2016-03,10800,Bland (A),0,5,815,0,148,5,70,147,243,396,300,299,39,149,25,71,0,1261,0,0,5,0,0,5,26,8
2016-03,10850,Blayney (A),0,5,891,5,199,8,79,126,270,493,381,393,61,232,20,106,0,1467,6,0,5,0,0,5,44,20
2016-03,10900,Blue Mountains (C),18,30,10085,152,1822,93,640,1181,2573,4436,3604,3962,997,2072,201,709,8,15082,32,0,71,0,9,17,239,491
2016-03,10950,Bogan (A),5,23,361,0,45,0,17,61,88,211,177,185,26,125,11,65,0,570,0,0,0,0,0,0,12,5
2016-03,11000,Bombala (A),0,5,367,5,59,0,28,40,133,166,119,128,26,64,11,25,0,591,0,0,5,0,0,0,5,5
2016-03,11050,Boorowa (A),0,0,376,0,77,0,30,51,128,171,131,136,28,72,13,25,0,604,0,0,5,0,5,5,9,8
