"","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","region_id","LGA"
"1",123,181,192,236,247,207,222,271,272,258,239,216,235,253,277,304,268,"LGA10050","Albury"
"2",78,86,92,93,84,93,73,102,134,130,113,123,145,158,165,167,162,"LGA10110","Armidale Dumaresq"
"3",68,80,91,103,94,136,108,116,110,91,81,101,111,82,108,107,115,"LGA10150","Ashfield"
"4",133,138,144,155,167,140,133,186,197,244,277,297,274,350,366,350,304,"LGA10200","Auburn"
"5",109,128,155,181,200,155,143,174,183,112,147,127,149,150,136,164,93,"LGA10250","Ballina"
"6",339,438,567,492,488,457,492,621,638,548,643,674,766,731,893,891,914,"LGA10350","Bankstown"
"7",108,119,137,120,163,214,191,190,198,226,223,193,219,187,195,238,204,"LGA10470","Bathurst Regional"
"8",90,100,120,105,119,115,128,117,91,109,109,96,112,114,104,84,104,"LGA10550","Bega Valley"
"9",27,27,42,55,36,51,55,37,39,21,18,32,32,25,26,28,32,"LGA10600","Bellingen"
"10",18,12,17,14,18,24,22,20,14,15,15,17,20,23,23,17,19,"LGA10650","Berrigan"
"11",1402,1449,1622,1853,1745,1764,1702,1781,1720,1611,1795,1791,1899,1969,1865,1971,1948,"LGA10750","Blacktown"
"12",20,22,20,24,18,6,14,15,26,35,21,17,25,25,26,24,18,"LGA10800","Bland"
"13",13,6,13,21,10,19,17,20,28,27,17,13,17,23,21,26,21,"LGA10850","Blayney"
"14",131,160,180,192,215,170,221,212,248,208,223,260,297,232,242,203,213,"LGA10900","Blue Mountains"
"15",12,23,18,17,17,15,26,23,19,22,22,29,23,22,23,33,35,"LGA10950","Bogan"
"16",128,132,130,135,117,120,125,116,161,125,118,126,129,143,105,110,121,"LGA11100","Botany Bay"
"17",126,139,152,142,147,154,168,128,108,114,118,114,135,135,139,124,135,"LGA11150","Bourke"
"18",128,150,191,228,284,131,129,168,159,174,174,166,191,134,169,169,179,"LGA11250","Broken Hill"
"19",49,55,45,54,64,78,57,70,69,79,75,105,88,76,74,72,76,"LGA11300","Burwood"
"20",85,112,99,95,103,88,83,110,89,111,111,99,85,126,118,135,90,"LGA11350","Byron"
"21",31,24,30,34,26,46,30,30,29,28,44,39,41,42,41,55,49,"LGA11400","Cabonne"
"22",95,84,122,119,147,145,121,136,116,138,163,180,179,151,156,191,242,"LGA11450","Camden"
"23",717,787,854,961,998,1073,1042,1189,1108,990,1112,1038,985,910,962,998,883,"LGA11500","Campbelltown"
"24",75,90,96,93,75,103,90,100,89,102,132,101,120,107,135,150,122,"LGA11520","Canada Bay"
"25",245,236,311,302,363,326,357,295,345,402,376,437,445,484,417,517,487,"LGA11550","Canterbury"
"26",141,205,225,205,221,203,323,308,270,246,269,258,287,301,386,353,386,"LGA11720","Cessnock"
"27",156,176,174,197,219,207,198,183,154,167,125,157,169,188,217,193,215,"LGA11730","Clarence Valley"
"28",38,18,32,43,36,36,29,39,39,39,24,31,40,32,37,40,49,"LGA11750","Cobar"
"29",296,324,312,277,311,347,305,272,273,314,323,334,333,429,441,501,448,"LGA11800","Coffs Harbour"
"30",2,11,15,9,19,5,16,15,8,17,11,8,9,13,8,8,11,"LGA12000","Coolamon"
"31",21,22,17,24,27,27,26,25,30,41,32,19,54,34,39,11,21,"LGA12050","Cooma-Monaro"
"32",52,47,71,71,59,69,71,83,48,32,40,43,56,55,57,67,54,"LGA12150","Coonamble"
"33",25,36,27,41,40,31,40,33,34,25,33,45,48,39,42,37,42,"LGA12200","Cootamundra"
"34",30,22,27,31,27,29,42,46,32,37,41,37,31,25,48,38,37,"LGA12300","Corowa Shire"
