LGA,region_id,Year,Alcohol Related*,Not Alcohol Related,Victim Indigeneous,Victim Non Indigeneous,Victim Unknown,Victim Male 0_17,Victim Male 18_29,Victim Male 30-39,Victim Male 40_PLUS,Victim Male UNKNOWN,Victim Female 0_17,Victim Male 18_29,Victim Female 30-39,Victim Female 40_PLUS,Victim Female UNKNOWN
Albury,LGA10050,2016,0.356,0.644,0.136,0.699,0.166,0.156,0.260,0.130,0.455,0.000,0.076,0.382,0.324,0.218,0.000
Armidale Dumaresq,LGA10130,2017,0.432,0.568,0.429,0.395,0.176,0.152,0.364,0.182,0.303,0.000,0.086,0.453,0.230,0.223,0.007
Ballina,LGA10250,2016,0.532,0.468,0.257,0.655,0.088,0.172,0.172,na,0.621,0.034,0.096,0.361,0.229,0.313,0.000
Bathurst Regional,LGA10470,2016,0.270,0.730,0.116,0.641,0.242,0.175,0.281,0.175,0.368,0.000,0.085,0.454,0.241,0.220,0.000
Bega Valley,LGA10550,2016,0.368,0.632,0.119,0.844,0.037,0.167,0.278,0.278,0.278,0.000,0.096,0.356,0.315,0.233,0.000
Bellingen,LGA10600,2016,0.472,0.528,0.000,0.919,0.081,na,0.000,0.000,1.000,0.000,na,0.400,0.200,0.367,0.033
Berrigan,LGA10650,2016,0.400,0.600,0.000,1.000,0.000,na,na,na,na,na,na,na,na,na,na
Blacktown,LGA10750,2016,0.201,0.799,0.039,0.842,0.119,0.163,0.300,0.188,0.337,0.012,0.097,0.386,0.257,0.255,0.005
Bland,LGA10800,2016,0.286,0.714,0.227,0.591,0.182,na,na,na,na,na,na,1.000,0.000,na,0.000
Blayney,LGA10850,2016,0.267,0.733,na,0.688,0.313,na,na,na,na,na,1.000,na,na,na,0.000
Blue Mountains,LGA10900,2016,0.340,0.660,0.026,0.605,0.369,0.117,0.170,0.213,0.479,0.021,0.141,0.282,0.232,0.345,0.000
Bogan,LGA10950,2016,0.333,0.667,0.552,0.414,0.034,na,na,na,na,na,na,0.625,0.375,na,0.000
Bourke,LGA11150,2016,0.352,0.648,0.845,0.124,0.031,0.217,0.304,0.217,0.261,0.000,0.108,0.473,0.176,0.230,0.014
Broken Hill,LGA11250,2016,0.394,0.606,0.272,0.566,0.162,0.128,0.255,0.298,0.319,0.000,0.079,0.437,0.206,0.270,0.008
Burwood,LGA11300,2016,0.278,0.722,0.000,0.975,0.025,na,0.450,na,0.550,0.000,0.089,0.375,0.286,0.250,0.000
Byron,LGA11350,2016,0.536,0.464,na,0.962,0.038,na,0.250,0.219,0.531,0.000,na,0.271,0.286,0.443,0.000
Cabonne,LGA11400,2016,0.379,0.621,na,0.862,0.138,na,na,na,na,na,na,0.412,na,0.588,0.000
Camden,LGA11450,2016,0.305,0.695,na,0.902,0.098,0.226,0.226,0.118,0.430,0.000,0.089,0.336,0.260,0.308,0.007
Canada Bay,LGA11520,2016,0.324,0.676,0.000,0.914,0.086,0.135,0.189,0.162,0.514,0.000,na,0.303,0.303,0.395,0.000
Cessnock,LGA11720,2017,0.304,0.696,0.015,0.694,0.291,0.245,0.217,0.179,0.330,0.028,0.107,0.284,0.273,0.325,0.010
Clarence Valley,LGA11730,2017,0.344,0.656,0.248,0.706,0.046,0.169,0.221,0.208,0.403,0.000,0.119,0.325,0.250,0.306,0.000
Cobar,LGA11750,2016,0.455,0.545,0.486,0.405,0.108,na,0.857,na,na,0.143,0.227,0.273,0.227,0.273,0.000
Coffs Harbour,LGA11800,2017,0.372,0.628,0.103,0.741,0.156,0.213,0.213,0.187,0.387,0.000,0.107,0.304,0.241,0.342,0.006
Coolamon,LGA12000,2017,0.733,0.267,0.000,0.667,0.333,na,na,na,na,na,na,na,na,1.000,0.000
Coonamble,LGA12150,2017,0.453,0.547,0.849,na,0.151,0.294,0.353,na,0.353,0.000,na,0.412,0.441,0.147,0.000
