LGA,region_id,yr1999_pop,yr2000_pop,yr2001_pop,yr2002_pop,yr2003_pop,yr2004_pop,yr2005_pop,yr2006_pop,yr2007_pop,yr2008_pop,yr2009_pop,yr2010_pop,yr2011_pop,yr2012_pop,yr2013_pop,yr2014_pop,yr2015_pop
Albury (C),LGA10050,44443,44896,45666,46121,46415,46620,47132,47694,48857,49171,49253,49397,49467,49802,50354,51021,51525
Armidale Regional (A),LGA10130,29365,29374,29282,29264,29110,28992,29041,29227,29080,29471,29723,29737,29813,29848,29993,30105,30217
Ballina (A),LGA10250,36931,37497,38159,38852,39239,39484,39713,40090,40411,40534,40650,40693,40753,41060,41378,41688,42075
Balranald (A),LGA10300,2384,2401,2419,2436,2454,2471,2489,2507,2473,2433,2404,2381,2353,2359,2374,2366,2349
Bathurst Regional (A),LGA10470,34907,35268,35706,35991,36283,36557,36954,37508,37793,38404,39162,39645,39936,40345,40798,41272,41844
Bega Valley (A),LGA10550,29758,30131,30703,31135,31477,31905,32246,32637,32647,32759,32878,33058,32999,33301,33444,33587,33742
Bellingen (A),LGA10600,12741,12696,12731,12755,12777,12700,12748,12810,12949,12927,12949,12920,12886,12902,12902,12902,12901
Berrigan (A),LGA10650,8157,8129,8138,8178,8156,8175,8304,8541,8363,8380,8366,8346,8282,8360,8424,8502,8544
Blacktown (C),LGA10750,255176,259693,264799,269855,273077,278098,282679,287634,285955,292337,298954,306566,312479,317765,324729,331783,339368
Bland (A),LGA10800,6593,6612,6655,6636,6598,6542,6507,6562,6269,6153,6153,6067,6018,6037,6033,6042,6038
Blayney (A),LGA10850,6483,6463,6530,6611,6645,6677,6768,6894,6945,6958,7090,7134,7186,7292,7335,7372,7388
Blue Mountains (C),LGA10900,76171,76467,77021,77353,77415,76863,76275,75770,76334,77165,77914,78062,78391,78536,78682,78842,78847
Bogan (A),LGA10950,3246,3227,3181,3159,3114,3117,3103,3113,3062,3035,3034,3028,3020,2984,2928,2898,2851
Botany Bay (C),LGA11100,36879,37017,37193,37363,37446,37120,37262,37415,38218,39114,40109,41031,41674,42279,43264,44677,46454
Bourke (A),LGA11150,3930,3887,3951,3816,3682,3538,3400,3249,3128,3099,3060,3065,3085,3005,2914,2888,2823
Brewarrina (A),LGA11200,2172,2154,2165,2173,2145,2140,2166,2201,1977,1977,1891,1889,1895,1824,1837,1796,1775
Broken Hill (C),LGA11250,21476,21187,21098,20888,20651,20408,20287,20223,19997,19855,19594,19320,19125,18975,18773,18587,18305
Burwood (A),LGA11300,30044,30335,30580,30702,30806,31025,31109,31387,33082,33460,33809,33922,34305,35098,36140,37201,37819
Byron (A),LGA11350,28506,29127,29689,29990,30383,30676,30787,30898,30641,30860,30952,30924,30825,31099,31523,31920,32344
Cabonne (A),LGA11400,12413,12422,12547,12589,12610,12607,12705,12843,12907,12959,13078,13121,13188,13339,13497,13543,13560
Camden (A),LGA11450,40324,42906,45454,47818,49416,50223,51561,52459,52349,53729,55298,56770,58376,61190,64197,68813,74329
Campbelltown (C),LGA11500,149339,149525,150154,150489,150483,149672,149491,148969,147687,148479,149902,150288,151221,152477,154338,156304,158591
Canada Bay (A),LGA11520,59523,60959,62322,63571,64626,66020,67602,68955,70421,72307,75191,77549,79905,82636,85535,88535,90419
Canterbury-Bankstown (A),LGA11570,306108,306809,309486,309880,309867,309942,311838,315688,317132,322334,327205,331415,335388,340522,345748,351013,356386
Carrathool (A),LGA11600,3210,3276,3316,3275,3176,3092,2993,2918,2866,2816,2795,2731,2668,2671,2804,2808,2777
Central Coast (C) (NSW),LGA11650,285249,290914,296258,300116,302608,304130,305660,307766,307205,311981,315804,319229,321685,325022,327336,329815,332491
Central Darling (A),LGA11700,2466,2459,2451,2346,2239,2187,2126,2038,2042,2043,2077,2091,2108,2014,1977,1932,1920
Cessnock (C),LGA11720,46775,46784,47188,47521,47809,48050,48323,48744,49083,50032,50696,51506,52493,53348,54339,55165,55965
Clarence Valley (A),LGA11730,47554,47843,48617,48847,49013,49241,49613,50102,50295,50467,50880,51137,51252,51319,51358,51380,51383
Cobar (A),LGA11750,5404,5256,5182,5152,5072,5012,5009,5023,5133,5053,5030,4995,4931,4857,4833,4817,4789
Coffs Harbour (C),LGA11800,61242,62311,63062,64190,65392,66484,67276,68315,68528,69446,69952,70553,70933,71584,72317,73047,73773
Coolamon (A),LGA12000,4035,4066,4122,4117,4101,4105,4124,4184,4167,4191,4210,4222,4213,4282,4334,4368,4380
Coonamble (A),LGA12150,4927,4901,4836,4733,4629,4532,4462,4392,4331,4308,4292,4292,4274,4203,4181,4156,4119
Cowra (A),LGA12350,12832,12983,13094,13041,12991,12964,12970,13011,12853,12718,12690,12603,12526,12536,12520,12574,12624
Cumberland (A),LGA12380,143673,145382,147914,150006,151552,153745,157273,160555,166204,170854,175061,178871,182155,207678,212670,217226,221618
Dungog (A),LGA12700,8107,8302,8405,8409,8421,8366,8433,8461,8361,8397,8489,8485,8547,8663,8799,8932,9025
