"","LGA","region_id","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","yr2016_dv","yr2017_dv","yr1999_pop","yr2000_pop","yr2001_pop","yr2002_pop","yr2003_pop","yr2004_pop","yr2005_pop","yr2006_pop","yr2007_pop","yr2008_pop","yr2009_pop","yr2010_pop","yr2011_pop","yr2012_pop","yr2013_pop","yr2014_pop","yr2015_pop","yr2016_pop","yr2017_pop","yr1999pct","yr2000pct","yr2001pct","yr2002pct","yr2003pct","yr2004pct","yr2005pct","yr2006pct","yr2007pct","yr2008pct","yr2009pct","yr2010pct","yr2011pct","yr2012pct","yr2013pct","yr2014pct","yr2015pct","yr2016pct","yr2017pct"
"1","Albury","LGA10050",123,181,192,236,247,207,222,271,272,258,239,216,235,253,277,304,268,284,278,44443,44896,45666,46121,46415,46620,47132,47694,48857,49171,49253,49397,49467,49802,50354,51021,51525,52165,52886,0.276758994667327,0.403153955808981,0.420444094074366,0.511697491381366,0.532155553161693,0.444015444015444,0.471017567682254,0.568205644315847,0.556726774054895,0.524699518008582,0.485249629464195,0.437273518634735,0.47506418420361,0.508011726436689,0.550105254796044,0.595833088336175,0.520135856380398,0.544426339499665,0.525658964565291
"2","Ballina","LGA10250",109,128,155,181,200,155,143,174,183,112,147,127,149,150,136,164,93,109,104,36931,37497,38159,38852,39239,39484,39713,40090,40411,40534,40650,40693,40753,41060,41378,41688,42075,42626,43064,0.295145000135388,0.341360642184708,0.406195130899657,0.465870482858025,0.509696985142333,0.392564076587985,0.360083599828771,0.434023447243702,0.452846997104749,0.276311244880841,0.361623616236162,0.312092988966161,0.365617255171398,0.365319045299562,0.328677074774035,0.393398579927077,0.221033868092692,0.255712475953643,0.241501021735092
"3","Bathurst Regional","LGA10470",108,119,137,120,163,214,191,190,198,226,223,193,219,187,195,238,204,186,216,34907,35268,35706,35991,36283,36557,36954,37508,37793,38404,39162,39645,39936,40345,40798,41272,41844,42389,42900,0.30939353138339,0.337416354769196,0.383689015851678,0.33341668750521,0.449246203456164,0.585387203545149,0.516858797423824,0.506558600831823,0.523906543539809,0.588480366628476,0.569429549052653,0.486820532223483,0.548377403846154,0.463502292725245,0.477964606108143,0.576662143826323,0.487525093203327,0.438793083111185,0.503496503496504
"4","Bega Valley","LGA10550",90,100,120,105,119,115,128,117,91,109,109,96,112,114,104,84,104,106,107,29758,30131,30703,31135,31477,31905,32246,32637,32647,32759,32878,33058,32999,33301,33444,33587,33742,33946,34095,0.302439680086027,0.33188410607016,0.39084128586783,0.337241047053156,0.378053817072783,0.360445071305438,0.396948458723563,0.35848883169409,0.278739240971605,0.332732989407491,0.331528681793296,0.290398693205881,0.339404224370435,0.342332062100237,0.310967587609138,0.250096763628785,0.308221207990042,0.312260649266482,0.313829007185804
"5","Bellingen","LGA10600",27,27,42,55,36,51,55,37,39,21,18,32,32,25,26,28,32,36,34,12741,12696,12731,12755,12777,12700,12748,12810,12949,12927,12949,12920,12886,12902,12902,12902,12901,12893,12888,0.211914292441724,0.212665406427221,0.329903385437122,0.431203449627597,0.281756280817093,0.401574803149606,0.431440225917791,0.288836846213895,0.3011815584215,0.162450684613599,0.139006873117615,0.247678018575851,0.248331522582648,0.19376840799876,0.20151914431871,0.217020616958611,0.248042787380823,0.279221282866672,0.26381129733085
"6","Berrigan","LGA10650",18,12,17,14,18,24,22,20,14,15,15,17,20,23,23,17,19,15,13,8157,8129,8138,8178,8156,8175,8304,8541,8363,8380,8366,8346,8282,8360,8424,8502,8544,8572,8617,0.220669363736668,0.147619633411244,0.208896534775129,0.171191000244559,0.220696419813634,0.293577981651376,0.264932562620424,0.234164617726262,0.167404041611862,0.178997613365155,0.179297155151805,0.203690390606278,0.241487563390485,0.27511961722488,0.273029439696106,0.19995295224653,0.222378277153558,0.174988334111059,0.150864570035975
"7","Blacktown","LGA10750",1402,1449,1622,1853,1745,1764,1702,1781,1720,1611,1795,1791,1899,1969,1865,1971,1948,2066,2022,255176,259693,264799,269855,273077,278098,282679,287634,285955,292337,298954,306566,312479,317765,324729,331783,339368,347591,356859,0.549424710787848,0.557966522008679,0.612540077568269,0.686665060866021,0.639013904503126,0.634308768851268,0.602096370795142,0.619189664643262,0.601493241943662,0.551076326294653,0.600426821517692,0.58421351356641,0.60772083884037,0.619640300221862,0.574325052582307,0.594062986952315,0.574008156337663,0.594376724368583,0.566610341899742
"8","Bland","LGA10800",20,22,20,24,18,6,14,15,26,35,21,17,25,25,26,24,18,21,19,6593,6612,6655,6636,6598,6542,6507,6562,6269,6153,6153,6067,6018,6037,6033,6042,6038,6031,5990,0.303352040042469,0.332728372655777,0.300525920360631,0.361663652802893,0.27280994240679,0.0917150718434729,0.215152912248348,0.228588844864371,0.414739192853725,0.568828213879408,0.341296928327645,0.280204384374485,0.415420405450316,0.414112970018221,0.430963036631858,0.397219463753724,0.298111957601855,0.348200961697894,0.317195325542571
"9","Blayney","LGA10850",13,6,13,21,10,19,17,20,28,27,17,13,17,23,21,26,21,15,38,6483,6463,6530,6611,6645,6677,6768,6894,6945,6958,7090,7134,7186,7292,7335,7372,7388,7418,7415,0.200524448557766,0.0928361442054773,0.199081163859112,0.317652397519286,0.150489089541008,0.284558933652838,0.251182033096927,0.290107339715695,0.403167746580274,0.388042540960046,0.239774330042313,0.182225960190636,0.236571110492625,0.315414152495886,0.286298568507157,0.352685838307108,0.284244721169464,0.202210838500944,0.512474713418746
"10","Blue Mountains","LGA10900",131,160,180,192,215,170,221,212,248,208,223,260,297,232,242,203,213,250,262,76171,76467,77021,77353,77415,76863,76275,75770,76334,77165,77914,78062,78391,78536,78682,78842,78847,78705,78800,0.171981462761418,0.209240587442949,0.233702496721673,0.248212739001719,0.277723955305819,0.221172735906743,0.28974106850213,0.279794113765342,0.324887992244609,0.269552258148124,0.286213004081423,0.33306858650816,0.378870023344517,0.295405928491392,0.307567169111105,0.257476979275006,0.270143442363058,0.317641827075789,0.33248730964467
