"","region_id","label","B911","B912","B914","B915","B923","B924","B926","B927","B935","B936","B938","B939","B947","B948","B950","B951","B959","B960","B962","B963","B971","B972","B974","B975","B983","B984","B986","B987","B995","B996","B998","B999","B1007","B1008","B1010","B1011","B1019","B1020","B1022","B1023","Total_Males_20_24","B911_ppt","B914_ppt","Total_Males_25_29","B923_ppt","B926_ppt","Total_Males_20_29","Males_20_29_Indig_ppt","Males_20_29_Non_Indig_ppt","Total_Females_20_24","B912_ppt","B915_ppt","Total_Females_25_29","B924_ppt","B927_ppt","Total_Females_20_29","Females_20_29_Indig_ppt","Females_20_29_Non_Indig_ppt","Total_Males_30_34","B935_ppt","B938_ppt","Total_Males_35_39","B947_ppt","B950_ppt","Total_Males_30_39","Males_30_39_Indig_ppt","Males_30_39_Non_Indig_ppt","Total_Females_30_34","B936_ppt","B939_ppt","Total_Females_35_39","B948_ppt","B951_ppt","Total_Females_30_39","Females_30_39_Indig_ppt","Females_30_39_Non_Indig_ppt","Total_Males_40_44","B959_ppt","B962_ppt","Total_Males_45_49","B971_ppt","B974_ppt","Total_Males_40_49","Males_40_49_Indig_ppt","Males_40_49_Non_Indig_ppt","Total_Females_40_44","B960_ppt","B963_ppt","Total_Females_45_49","B972_ppt","B975_ppt","Total_Females_40_49","Females_40_49_Indig_ppt","Females_40_49_Non_Indig_ppt","Total_Males_50_54","B983_ppt","B986_ppt","Total_Males_55_59","B995_ppt","B998_ppt","Total_Males_60_64","B1007_ppt","B1010_ppt","Total_Males_50_64","Males_50_64_Indig_ppt","Males_50_64_Non_Indig_ppt","Total_Females_50_54","B984_ppt","B987_ppt","Total_Females_55_59","B996_ppt","B999_ppt","Total_Females_60_64","B1008_ppt","B1011_ppt","Total_Females_50_64","Females_50_64_Indig_ppt","Females_50_64_Non_Indig_ppt","Total_Males_65_plus","Males_65_plus_Indig_ppt","Males_65_plus_Non_Indig_ppt","Total_Females_65_plus","Females_65_plus_Indig_ppt","Females_65_plus_Non_Indig_ppt"
"1","LGA10050","Albury (C)",48,56,1484,1699,38,40,1398,1485,23,42,1338,1370,18,26,1368,1479,25,38,1437,1516,26,25,1416,1549,16,21,1487,1659,18,18,1360,1443,12,14,1270,1326,13,19,2952,3860,1532,3.1331592689295,96.8668407310705,1436,2.64623955431755,97.3537604456824,2968,2.89757412398922,97.1024258760108,1755,3.19088319088319,96.8091168091168,1525,2.62295081967213,97.3770491803279,3280,2.92682926829268,97.0731707317073,1361,1.68993387215283,98.3100661278472,1386,1.2987012987013,98.7012987012987,2747,1.49253731343284,98.5074626865672,1412,2.97450424929179,97.0254957507082,1505,1.72757475083056,98.2724252491694,2917,2.33116215289681,97.6688378471032,1462,1.70998632010944,98.2900136798906,1442,1.80305131761442,98.1969486823856,2904,1.75619834710744,98.2438016528926,1554,2.44530244530245,97.5546975546976,1574,1.58831003811944,98.4116899618806,3128,2.01406649616368,97.9859335038363,1503,1.0645375914837,98.9354624085163,1378,1.30624092888244,98.6937590711176,1282,0.93603744149766,99.0639625585023,4163,1.10497237569061,98.8950276243094,1680,1.25,98.75,1461,1.23203285420945,98.7679671457906,1340,1.04477611940299,98.955223880597,4481,1.18277170274492,98.8172282972551,2965,0.438448566610455,99.5615514333896,3879,0.489816963134829,99.5101830368652
"2","LGA10110","Armidale Dumaresq (A)",62,82,1032,1158,31,57,646,592,36,48,499,534,31,42,505,599,35,56,592,658,42,36,731,753,31,29,679,789,25,35,673,676,18,19,561,599,26,27,1397,1822,1094,5.6672760511883,94.3327239488117,677,4.57902511078287,95.4209748892171,1771,5.25127046866177,94.7487295313382,1240,6.61290322580645,93.3870967741936,649,8.78274268104777,91.2172573189522,1889,7.35839068290101,92.641609317099,535,6.72897196261682,93.2710280373832,536,5.78358208955224,94.2164179104478,1071,6.25583566760037,93.7441643323996,582,8.24742268041237,91.7525773195876,641,6.55226209048362,93.4477379095164,1223,7.35895339329518,92.6410466067048,627,5.58213716108453,94.4178628389155,773,5.43337645536869,94.5666235446313,1400,5.5,94.5,714,7.84313725490196,92.156862745098,789,4.56273764258555,95.4372623574145,1503,6.12109115103127,93.8789088489687,710,4.36619718309859,95.6338028169014,698,3.58166189111748,96.4183381088825,579,3.10880829015544,96.8911917098446,1987,3.72420734776044,96.2757926522396,818,3.54523227383863,96.4547677261614,711,4.92264416315049,95.0773558368495,618,3.07443365695793,96.9255663430421,2147,3.86585933861202,96.134140661388,1423,1.82712579058327,98.1728742094167,1849,1.46024878312601,98.539751216874
"3","LGA10150","Ashfield (A)",17,10,1454,1486,12,8,1899,1934,9,9,1700,1748,3,11,1543,1599,3,7,1322,1506,10,12,1338,1455,6,6,1180,1304,6,5,1026,1070,3,0,898,904,8,5,2339,3117,1471,1.15567641060503,98.844323589395,1911,0.627943485086342,99.3720565149137,3382,0.857480780603193,99.1425192193968,1496,0.668449197860963,99.331550802139,1942,0.411946446961895,99.5880535530381,3438,0.523560209424084,99.4764397905759,1709,0.526623756582797,99.4733762434172,1546,0.19404915912031,99.8059508408797,3255,0.368663594470046,99.63133640553,1757,0.512236767216847,99.4877632327832,1610,0.683229813664596,99.3167701863354,3367,0.594000594000594,99.4059994059994,1325,0.226415094339623,99.7735849056604,1348,0.741839762611276,99.2581602373887,2673,0.486344930789375,99.5136550692106,1513,0.46265697290152,99.5373430270985,1467,0.81799591002045,99.1820040899795,2980,0.63758389261745,99.3624161073825,1186,0.505902192242833,99.4940978077572,1032,0.581395348837209,99.4186046511628,901,0.332963374028857,99.6670366259711,3119,0.480923372875922,99.5190766271241,1310,0.458015267175573,99.5419847328244,1075,0.465116279069767,99.5348837209302,904,0,100,3289,0.334448160535117,99.6655518394649,2347,0.34086067319983,99.6591393268002,3122,0.160153747597694,99.8398462524023
"4","LGA10200","Auburn (C)",38,22,3310,2905,42,21,3932,3566,29,26,3427,2968,33,19,2672,2403,18,8,2383,2344,15,10,2305,2175,16,7,2132,2071,5,13,1722,1743,4,3,1373,1316,9,10,2763,3138,3348,1.13500597371565,98.8649940262844,3974,1.05686965274283,98.9431303472572,7322,1.09259765091505,98.9074023490849,2927,0.75162282200205,99.248377177998,3587,0.585447449121829,99.4145525508782,6514,0.66011667178385,99.3398833282161,3456,0.83912037037037,99.1608796296296,2705,1.21996303142329,98.7800369685767,6161,1.00633014121084,98.9936698587892,2994,0.868403473613894,99.1315965263861,2422,0.784475639966969,99.215524360033,5416,0.830871491875923,99.1691285081241,2401,0.749687630154102,99.2503123698459,2320,0.646551724137931,99.3534482758621,4721,0.699004448210125,99.3009955517899,2352,0.340136054421769,99.6598639455782,2185,0.45766590389016,99.5423340961098,4537,0.396737932554552,99.6032620674455,2148,0.74487895716946,99.2551210428305,1727,0.289519397799653,99.7104806022003,1377,0.290486564996369,99.7095134350036,5252,0.476009139375476,99.5239908606245,2078,0.336862367661213,99.6631376323388,1756,0.740318906605923,99.2596810933941,1319,0.227445034116755,99.7725549658832,5153,0.446341936735882,99.5536580632641,2772,0.324675324675325,99.6753246753247,3148,0.317662007623888,99.6823379923761
"5","LGA10250","Ballina (A)",42,50,732,707,33,40,697,720,27,22,772,839,28,51,986,1128,40,60,1110,1327,18,49,1256,1351,34,27,1318,1536,19,23,1357,1490,18,17,1356,1374,23,34,3579,4510,774,5.42635658914729,94.5736434108527,730,4.52054794520548,95.4794520547945,1504,4.98670212765957,95.0132978723404,757,6.60501981505945,93.3949801849406,760,5.26315789473684,94.7368421052632,1517,5.93276203032301,94.067237969677,799,3.37922403003755,96.6207759699625,1014,2.76134122287968,97.2386587771203,1813,3.03364589078875,96.9663541092113,861,2.55516840882695,97.4448315911731,1179,4.32569974554707,95.6743002544529,2040,3.57843137254902,96.421568627451,1150,3.47826086956522,96.5217391304348,1274,1.41287284144427,98.5871271585557,2424,2.39273927392739,97.6072607260726,1387,4.32588320115357,95.6741167988464,1400,3.5,96.5,2787,3.91101542877646,96.0889845712235,1352,2.51479289940828,97.4852071005917,1376,1.38081395348837,98.6191860465116,1374,1.31004366812227,98.6899563318777,4102,1.73086299366163,98.2691370063384,1563,1.72744721689059,98.2725527831094,1513,1.52015862524785,98.4798413747522,1391,1.22214234363767,98.7778576563623,4467,1.49988806805462,98.5001119319454,3602,0.638534147695725,99.3614658523043,4544,0.748239436619718,99.2517605633803
"6","LGA10300","Balranald (A)",5,8,45,45,6,6,41,41,3,0,53,55,4,6,64,65,3,6,70,65,3,4,67,84,6,3,81,85,6,7,73,85,3,0,84,54,3,6,153,169,50,10,90,47,12.7659574468085,87.2340425531915,97,11.340206185567,88.659793814433,53,15.0943396226415,84.9056603773585,47,12.7659574468085,87.2340425531915,100,14,86,56,5.35714285714286,94.6428571428571,68,5.88235294117647,94.1176470588235,124,5.64516129032258,94.3548387096774,55,0,100,71,8.45070422535211,91.5492957746479,126,4.76190476190476,95.2380952380952,73,4.10958904109589,95.8904109589041,70,4.28571428571429,95.7142857142857,143,4.1958041958042,95.8041958041958,71,8.45070422535211,91.5492957746479,88,4.54545454545455,95.4545454545455,159,6.28930817610063,93.7106918238994,87,6.89655172413793,93.1034482758621,79,7.59493670886076,92.4050632911392,87,3.44827586206897,96.551724137931,253,5.92885375494071,94.0711462450593,88,3.40909090909091,96.5909090909091,92,7.60869565217391,92.3913043478261,54,0,100,234,4.27350427350427,95.7264957264957,156,1.92307692307692,98.0769230769231,175,3.42857142857143,96.5714285714286
"7","LGA10350","Bankstown (C)",52,55,5875,5819,30,49,5597,6058,30,40,5596,5940,38,42,5570,6106,39,59,5479,5812,26,45,5679,5879,34,45,5596,5675,26,36,4765,4830,26,29,4178,4251,37,49,10675,12868,5927,0.877340981947022,99.122659018053,5627,0.533143771103608,99.4668562288964,11554,0.709710922624199,99.2902890773758,5874,0.936329588014981,99.063670411985,6107,0.802357949893565,99.1976420501064,11981,0.868041065019614,99.1319589349804,5626,0.53323853537149,99.4667614646285,5608,0.677603423680456,99.3223965763195,11234,0.605305323126224,99.3946946768738,5980,0.668896321070234,99.3311036789298,6148,0.683148991541965,99.316851008458,12128,0.676121372031662,99.3238786279683,5518,0.706777818050018,99.29322218195,5705,0.455740578439965,99.54425942156,11223,0.57916778045086,99.4208322195491,5871,1.00493953329927,98.9950604667007,5924,0.759621877110061,99.2403781228899,11795,0.881729546417974,99.118270453582,5630,0.603907637655417,99.3960923623446,4791,0.542684199540806,99.4573158004592,4204,0.618458610846813,99.3815413891532,14625,0.588034188034188,99.4119658119658,5720,0.786713286713287,99.2132867132867,4866,0.739827373612824,99.2601726263872,4280,0.677570093457944,99.3224299065421,14866,0.739943495224001,99.260056504776,10712,0.345407020164302,99.6545929798357,12917,0.379345049160022,99.62065495084
"8","LGA10470","Bathurst Regional (A)",107,83,1465,1380,77,49,1096,999,60,46,1004,971,54,56,1091,1108,50,43,1134,1178,20,32,1167,1199,22,20,1187,1208,16,24,1124,1070,13,20,1004,996,28,22,2260,2754,1572,6.80661577608142,93.1933842239186,1173,6.56436487638534,93.4356351236147,2745,6.70309653916211,93.2969034608379,1463,5.67327409432673,94.3267259056733,1048,4.67557251908397,95.324427480916,2511,5.25686977299881,94.7431302270012,1064,5.6390977443609,94.3609022556391,1145,4.71615720524018,95.2838427947598,2209,5.16070620190131,94.8392937980987,1017,4.52310717797443,95.4768928220256,1164,4.81099656357388,95.1890034364261,2181,4.6767537826685,95.3232462173315,1184,4.22297297297297,95.777027027027,1187,1.6849199663016,98.3150800336984,2371,2.95234078447912,97.0476592155209,1221,3.52170352170352,96.4782964782965,1231,2.59951259138911,97.4004874086109,2452,3.05872756933116,96.9412724306688,1209,1.81968569065343,98.1803143093466,1140,1.40350877192982,98.5964912280702,1017,1.27826941986234,98.7217305801377,3366,1.51515151515152,98.4848484848485,1228,1.62866449511401,98.371335504886,1094,2.19378427787934,97.8062157221207,1016,1.96850393700787,98.0314960629921,3338,1.91731575793889,98.0826842420611,2288,1.22377622377622,98.7762237762238,2776,0.792507204610951,99.2074927953891
"9","LGA10550","Bega Valley (A)",21,24,539,460,28,34,487,515,19,17,508,621,24,28,671,760,21,22,858,976,22,29,994,1090,17,20,1236,1436,15,17,1312,1325,14,12,1298,1283,22,21,3145,3307,560,3.75,96.25,515,5.4368932038835,94.5631067961165,1075,4.55813953488372,95.4418604651163,484,4.95867768595041,95.0413223140496,549,6.19307832422587,93.8069216757741,1033,5.61471442400774,94.3852855759923,527,3.60531309297913,96.3946869070209,695,3.45323741007194,96.5467625899281,1222,3.51882160392799,96.481178396072,638,2.66457680250784,97.3354231974922,788,3.55329949238579,96.4467005076142,1426,3.15568022440393,96.8443197755961,879,2.38907849829352,97.6109215017065,1016,2.16535433070866,97.8346456692913,1895,2.26912928759894,97.7308707124011,998,2.20440881763527,97.7955911823647,1119,2.59159964253798,97.408400357462,2117,2.4090694378838,97.5909305621162,1253,1.35674381484437,98.6432561851556,1327,1.13036925395629,98.8696307460437,1312,1.06707317073171,98.9329268292683,3892,1.18191161356629,98.8180883864337,1456,1.37362637362637,98.6263736263736,1342,1.26676602086438,98.7332339791356,1295,0.926640926640927,99.0733590733591,4093,1.19716589298803,98.802834107012,3167,0.694663719608462,99.3053362803915,3328,0.631009615384615,99.3689903846154
"10","LGA10600","Bellingen (A)",17,11,175,198,8,7,193,189,9,9,187,222,10,11,274,357,9,6,340,432,11,17,412,493,11,13,489,560,13,7,504,502,8,3,454,430,8,11,1139,1268,192,8.85416666666667,91.1458333333333,201,3.98009950248756,96.0199004975124,393,6.36132315521628,93.6386768447837,209,5.26315789473684,94.7368421052632,196,3.57142857142857,96.4285714285714,405,4.44444444444444,95.5555555555555,196,4.59183673469388,95.4081632653061,284,3.52112676056338,96.4788732394366,480,3.95833333333333,96.0416666666667,231,3.8961038961039,96.1038961038961,368,2.98913043478261,97.0108695652174,599,3.33889816360601,96.661101836394,349,2.57879656160458,97.4212034383954,423,2.60047281323877,97.3995271867612,772,2.59067357512953,97.4093264248705,438,1.36986301369863,98.6301369863014,510,3.33333333333333,96.6666666666667,948,2.42616033755274,97.5738396624473,500,2.2,97.8,517,2.51450676982592,97.4854932301741,462,1.73160173160173,98.2683982683983,1479,2.16362407031778,97.8363759296822,573,2.26876090750436,97.7312390924956,509,1.37524557956778,98.6247544204322,433,0.69284064665127,99.3071593533487,1515,1.51815181518152,98.4818481848185,1147,0.697471665213601,99.3025283347864,1279,0.860046911649726,99.1399530883503
