Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2002-03 to 2003-04, Bourke,82.8,"2,589.00",469.7,403.5,543.8, ++
 2006-07 to 2007-08, Central Darling,48,"2,449.70",366.1,300.2,438.3, ++
 2005-06 to 2006-07, Central Darling,46.4,"2,337.10",363.7,299.3,435.2, ++
 2003-04 to 2004-05, Bourke,71.9,"2,321.60",406.8,343.7,471.2, ++
 2001-02 to 2002-03, Bourke,75.4,"2,266.70",418.8,358.7,485.7, ++
 2008-09 to 2009-10, Central Darling,43.8,"2,244.60",333.3,272.2,405.1, ++
 2003-04 to 2004-05, Central Darling,43.6,"2,063.90",361.7,292.4,435.4, ++
 2007-08 to 2008-09, Central Darling,40.1,"2,057.10",306.7,251.5,371.8, ++
 2002-03 to 2003-04, Central Darling,44.8,"2,055.70",372.9,303.8,449.7, ++
 2003-04 to 2004-05, Walgett,146.9,"1,988.10",348.4,309.4,389.8, ++
 2008-09 to 2009-10, Bourke,51,"1,903.00",282.6,230.8,334.5, ++
 2002-03 to 2003-04, Walgett,145.5,"1,895.10",343.8,308.4,380.8, ++
 2001-02 to 2002-03, Central Darling,43.3,"1,893.30",349.8,286.8,418.8, ++
 2007-08 to 2008-09, Bourke,51,"1,884.60",281,234.7,332.2, ++
 2004-05 to 2005-06, Walgett,134.9,"1,880.70",315.1,280,352.1, ++
 2006-07 to 2007-08, Walgett,126.3,"1,835.00",274.2,243.3,308.3, ++
 2004-05 to 2005-06, Bourke,54.6,"1,823.80",305.6,252.5,363.2, ++
 2008-09 to 2009-10, Brewarrina,30.1,"1,785.20",265.1,208.9,331.2, ++
 2007-08 to 2008-09, Walgett,120.4,"1,772.50",264.3,232.9,297.8, ++
 2006-07 to 2007-08, Bourke,48.6,"1,764.10",263.6,218.2,312.4, ++
 2005-06 to 2006-07, Walgett,123.8,"1,762.30",274.3,242.2,309.5, ++
 2005-06 to 2006-07, Bourke,50,"1,745.10",271.6,224.2,322.4, ++
 2001-02 to 2002-03, Walgett,137.8,"1,743.30",322.1,285.9,359.4, ++
 2010-11 to 2011-12, Bourke,47.1,"1,728.50",250.9,205.4,299.9, ++
 2009-10 to 2010-11, Bourke,46.4,"1,728.20",255.5,212,304.1, ++
 2007-08 to 2008-09, Brewarrina,29.6,"1,701.80",253.7,197.8,311.6, ++
 2011-12 to 2012-13, Bourke,46.3,"1,696.60",241.8,198,291.3, ++
 2009-10 to 2010-11, Brewarrina,27.7,"1,673.80",247.5,194,307.6, ++
 2006-07 to 2007-08, Brewarrina,29.5,"1,658.30",247.8,195.7,305.5, ++
 2008-09 to 2009-10, Walgett,112.1,"1,653.50",245.5,215.6,276.7, ++
 2004-05 to 2005-06, Central Darling,33.2,"1,621.50",271.7,214.7,339, ++
 2009-10 to 2010-11, Central Darling,31.5,"1,613.20",238.5,188.1,294.7, ++
 2001-02 to 2002-03, Brewarrina,29.6,"1,569.00",289.9,226.9,363.2, ++
 2011-12 to 2012-13, Walgett,106.9,"1,562.20",222.6,195.3,251, ++
 2012-13 to 2013-14, Bourke,41.8,"1,542.00",217,177.7,259.3, ++
 2012-13 to 2013-14, Brewarrina,26.5,"1,541.90",217,168.7,272.7, ++
 2010-11 to 2011-12, Walgett,104.3,"1,540.50",223.6,194.7,254.5, ++
 2011-12 to 2012-13, Central Darling,29.6,"1,482.00",211.2,169.9,261.7, ++
 2005-06 to 2006-07, Brewarrina,26.6,"1,472.10",229.1,179.2,287.1, ++
 2009-10 to 2010-11, Walgett,96.5,"1,427.80",211.1,183.7,240.2, ++
 2002-03 to 2003-04, Brewarrina,25.9,"1,417.80",257.2,196.2,327.2, ++
 2013-14 to 2014-15, Bourke,38.4,"1,408.70",199.5,162.5,241, ++
 2004-05 to 2005-06, Brewarrina,25.1,"1,384.60",232,180,291.2, ++
 2010-11 to 2011-12, Central Darling,27.4,"1,382.50",200.6,158.5,250.3, ++
 2008-09 to 2009-10, Balranald,33.7,"1,375.10",204.2,164.4,251.2, ++
 2013-14 to 2014-15, Brewarrina,23.9,"1,374.10",194.6,151.8,240.6, ++
 2012-13 to 2013-14, Walgett,94.5,"1,372.00",193.1,167.7,219.9, ++
 2002-03 to 2003-04, Lachlan,96.1,"1,339.60",243,212.3,278.7, ++
 2009-10 to 2010-11, Balranald,32.3,"1,337.80",197.8,157.3,244.7, ++
 2010-11 to 2011-12, Brewarrina,21.9,"1,324.50",192.2,144.9,244.7, ++
 2006-07 to 2007-08, Warren,36.8,"1,321.60",197.5,163.7,236.2, ++
 2003-04 to 2004-05, Lachlan,92.7,"1,309.90",229.5,198.4,262, ++
 2011-12 to 2012-13, Brewarrina,21.8,"1,302.20",185.6,142.5,234.3, ++
 2004-05 to 2005-06, Lachlan,90.4,"1,294.10",216.8,188.5,248.6, ++
 2010-11 to 2011-12, Kempsey,399.2,"1,291.00",187.4,174.6,201.3, ++
 2009-10 to 2010-11, Kempsey,391.1,"1,289.70",190.7,177.5,203.9, ++
 2003-04 to 2004-05, Brewarrina,23.1,"1,284.90",225.1,170.4,290.4, ++
 2006-07 to 2007-08, Balranald,31.9,"1,276.30",190.7,150.3,235, ++
 2006-07 to 2007-08, Coonamble,52.4,"1,274.00",190.4,157.5,225.9, ++
 2011-12 to 2012-13, Mosman,393.5,"1,267.20",180.6,168.4,193.1, ++
 2013-14 to 2014-15, Walgett,87.6,"1,266.40",179.3,156.3,204.6, ++
 2011-12 to 2012-13, Balranald,29.9,"1,259.70",179.5,144.2,222.5, ++
 2008-09 to 2009-10, Bogan,35.9,"1,257.40",186.7,150.2,227, ++
 2010-11 to 2011-12, Balranald,29.8,"1,253.40",181.9,145.4,226, ++
 2010-11 to 2011-12, Mosman,385.5,"1,246.00",180.8,168,194.5, ++
 2005-06 to 2006-07, Coonamble,51.5,"1,238.60",192.8,160.6,227.2, ++
 2009-10 to 2010-11, Bogan,35.3,"1,235.70",182.7,148.3,222.3, ++
 2007-08 to 2008-09, Warren,34.3,"1,235.00",184.1,149.2,222.4, ++
 2005-06 to 2006-07, Warren,34.6,"1,233.80",192,155.3,234.5, ++
 2012-13 to 2013-14, Mosman,385,"1,231.10",173.3,161.6,185.6, ++
 2005-06 to 2006-07, Lachlan,84.4,"1,226.80",190.9,164.3,219.4, ++
 2001-02 to 2002-03, Lachlan,88.7,"1,225.50",226.4,196.9,259, ++
 2006-07 to 2007-08, Lachlan,82.8,"1,222.30",182.7,158.8,208.9, ++
 2007-08 to 2008-09, Kempsey,356.8,"1,219.40",181.8,169,195.5, ++
 2002-03 to 2003-04, Cobar,56.5,"1,214.40",220.3,183.2,258.9, ++
 2008-09 to 2009-10, Kempsey,360.9,"1,212.80",180.1,167.1,192.6, ++
 2005-06 to 2006-07, Bogan,34.2,"1,212.50",188.7,151.3,227.2, ++
 2012-13 to 2013-14, Temora,79.2,"1,211.70",170.5,146.3,196.4, ++
 2012-13 to 2013-14, Central Darling,23.9,"1,211.00",170.4,134.4,213.3, ++
 2007-08 to 2008-09, Bogan,34.3,"1,200.40",179,142.9,219.7, ++
 2005-06 to 2006-07, Tenterfield,82.9,"1,199.10",186.6,160.7,215.9, ++
 2013-14 to 2014-15, Temora,78,"1,185.00",167.8,144.9,192.4, ++
 2006-07 to 2007-08, Carrathool,33.4,"1,178.80",176.2,142.8,212.1, ++
 2006-07 to 2007-08, Cobar,56.1,"1,167.80",174.5,145.5,205.1, ++
 2006-07 to 2007-08, Bogan,33.1,"1,166.10",174.2,137.2,216.4, ++
 2001-02 to 2002-03, Cobar,54.7,"1,164.70",215.2,178.1,255.2, ++
 2007-08 to 2008-09, Lachlan,78.3,"1,164.20",173.6,149.4,198.7, ++
 2007-08 to 2008-09, Cobar,55,"1,157.70",172.6,143.6,203.9, ++
 2005-06 to 2006-07, Cobar,55.2,"1,149.60",178.9,148,211.8, ++
 2013-14 to 2014-15, Manly,500.1,"1,133.50",160.5,150.5,170.7, ++
 2012-13 to 2013-14, Cobar,53.7,"1,131.80",159.3,133.2,190, ++
