region_id,LGA
LGA10050,Albury (C)
LGA10130,Armidale Regional (A)
LGA14170,Inner West (A)
LGA12380,Cumberland (A)
LGA16260,Parramatta (C)
LGA10250,Ballina (A)
LGA10300,Balranald (A)
LGA11570,Canterbury-Bankstown (A)
LGA10470,Bathurst Regional (A)
LGA10550,Bega Valley (A)
LGA10600,Bellingen (A)
LGA10650,Berrigan (A)
LGA10750,Blacktown (C)
LGA10800,Bland (A)
LGA10850,Blayney (A)
LGA10900,Blue Mountains (C)
LGA10950,Bogan (A)
LGA17040,Snowy Monaro Regional (A)
LGA13910,Hilltops (A)
LGA11100,Botany Bay (C)
LGA11150,Bourke (A)
LGA11200,Brewarrina (A)
LGA11250,Broken Hill (C)
LGA11300,Burwood (A)
LGA11350,Byron (A)
LGA11400,Cabonne (A)
LGA11450,Camden (A)
LGA14900,Liverpool (C)
LGA11500,Campbelltown (C) (NSW)
LGA11520,Canada Bay (A)
LGA11570,Canterbury-Bankstown (A)
LGA11600,Carrathool (A)
LGA11700,Central Darling (A)
LGA11720,Cessnock (C)
LGA11730,Clarence Valley (A)
LGA11750,Cobar (A)
LGA11800,Coffs Harbour (C)
LGA12730,Edward River (A)
LGA12000,Coolamon (A)
LGA17040,Snowy Monaro Regional (A)
LGA12150,Coonamble (A)
LGA13510,Gundagai (A)
LGA12870,Federation (A)
LGA12350,Cowra (A)
LGA12730,Edward River (A)
LGA18230,Western Plains Regional (A)
LGA12700,Dungog (A)
LGA12750,Eurobodalla (A)
LGA12850,Fairfield (C)
LGA12900,Forbes (A)
LGA18100,Weddin (A)
LGA12950,Gilgandra (A)
LGA13010,Glen Innes Severn (A)
LGA15240,Mid-Coast (A)
LGA11650,Central Coast (C) (NSW)
LGA13310,Goulburn Mulwaree (A)
LGA15240,Mid-Coast (A)
LGA13340,Greater Hume Shire (A)
LGA15240,Mid-Coast (A)
LGA13450,Griffith (C)
LGA13510,Gundagai (A)
LGA13910,Hilltops (A)
LGA13550,Gunnedah (A)
LGA10130,Armidale Regional (A)
LGA13660,Gwydir (A)
LGA13910,Hilltops (A)
LGA13800,Hawkesbury (C)
LGA13850,Hay (A)
LGA12380,Cumberland (A)
LGA16260,Parramatta (C)
LGA14000,Hornsby (A)
LGA16260,Parramatta (C)
LGA14100,Hunters Hill (A)
LGA12930,Georges River (A)
LGA14200,Inverell (A)
LGA15560,Murrumbidgee (A)
LGA14300,Junee (A)
LGA14350,Kempsey (A)
LGA14400,Kiama (A)
LGA12930,Georges River (A)
LGA14500,Ku-ring-gai (A)
LGA14550,Kyogle (A)
LGA14600,Lachlan (A)
LGA14650,Lake Macquarie (C)
LGA14700,Lane Cove (A)
LGA14750,Leeton (A)
LGA14170,Inner West (A)
LGA14850,Lismore (C)
LGA14870,Lithgow (C)
LGA14900,Liverpool (C)
LGA14920,Liverpool Plains (A)
LGA14950,Lockhart (A)
LGA15050,Maitland (C)
LGA15990,Northern Beaches (A)
LGA14170,Inner West (A)
LGA15270,Mid-Western Regional (A)
LGA15300,Moree Plains (A)
LGA15350,Mosman (A)
LGA15520,Murray River (A)
LGA15560,Murrumbidgee (A)
LGA15650,Muswellbrook (A)
LGA15700,Nambucca (A)
LGA15750,Narrabri (A)
LGA15800,Narrandera (A)
LGA15850,Narromine (A)
LGA15900,Newcastle (C)
LGA15950,North Sydney (A)
LGA16100,Oberon (A)
LGA16150,Orange (C)
LGA16490,Queanbeyan-Palerang Regional (A)
LGA16200,Parkes (A)
LGA12380,Cumberland (A)
LGA16260,Parramatta (C)
LGA16350,Penrith (C)
LGA15990,Northern Beaches (A)
LGA16380,Port Macquarie-Hastings (A)
LGA16400,Port Stephens (A)
LGA16490,Queanbeyan-Palerang Regional (A)
LGA16550,Randwick (C)
LGA16610,Richmond Valley (A)
LGA16650,Rockdale (C)
LGA16700,Ryde (C)
LGA16900,Shellharbour (C)
LGA16950,Shoalhaven (C)
LGA17000,Singleton (A)
LGA17040,Snowy Monaro Regional (A)
LGA17100,Strathfield (A)
LGA17150,Sutherland Shire (A)
LGA17200,Sydney (C)
LGA17310,Tamworth Regional (A)
LGA17350,Temora (A)
LGA17400,Tenterfield (A)
LGA16260,Parramatta (C)
LGA17420,The Hills Shire (A)
LGA17080,Snowy Valleys (A)
LGA17080,Snowy Valleys (A)
LGA17550,Tweed (A)
LGA17620,Upper Hunter Shire (A)
LGA17640,Upper Lachlan Shire (A)
LGA17650,Uralla (A)
LGA12870,Federation (A)
LGA17750,Wagga Wagga (C)
LGA15520,Murray River (A)
LGA17850,Walcha (A)
LGA17900,Walgett (A)
LGA17950,Warren (A)
LGA15990,Northern Beaches (A)
LGA18020,Warrumbungle Shire (A)
LGA18050,Waverley (A)
LGA18100,Weddin (A)
LGA18230,Western Plains Regional (A)
LGA18200,Wentworth (A)
LGA18250,Willoughby (C)
LGA18350,Wingecarribee (A)
LGA18400,Wollondilly (A)
LGA18450,Wollongong (C)
LGA18500,Woollahra (A)
LGA11650,Central Coast (C) (NSW)
LGA18710,Yass Valley (A)
LGA13910,Hilltops (A)
LGA19399,Unincorporated NSW
LGA19499,No usual address (NSW)
LGA20110,Alpine (S)
LGA20260,Ararat (RC)
LGA20570,Ballarat (C)
LGA20660,Banyule (C)
LGA20740,Bass Coast (S)
LGA20830,Baw Baw (S)
LGA20910,Bayside (C)
LGA21010,Benalla (RC)
LGA21110,Boroondara (C)
LGA21180,Brimbank (C)
LGA21270,Buloke (S)
LGA21370,Campaspe (S)
LGA21450,Cardinia (S)
LGA21610,Casey (C)
LGA21670,Central Goldfields (S)
LGA21750,Colac-Otway (S)
